id,userid,courseid,component,action,objectid,timecreated,_week
43,53,3,mod_folder,view,39,1707253362,1
44,58,1,mod_lesson,view,11,1707655425,1
45,58,11,mod_resource,view,165,1707296502,1
46,58,10,mod_page,attempt,137,1707735738,1
47,58,8,mod_bigbluebuttonbn,submit,110,1707670687,1
48,58,10,mod_bigbluebuttonbn,submit,150,1707177482,1
49,58,8,mod_lesson,view,108,1707340980,1
50,58,13,mod_lesson,view,193,1707414882,1
51,58,6,mod_book,view,83,1707740725,1
52,80,3,mod_page,view,40,1707614933,1
53,80,2,mod_book,view,19,1707415657,1
54,80,6,mod_resource,view,87,1707635170,1
55,80,14,mod_page,view,207,1707321124,1
56,80,14,mod_url,view,209,1707746598,1
57,80,2,mod_lesson,view,28,1707644092,1
58,80,14,mod_book,attempt,203,1707296349,1
59,83,12,mod_bigbluebuttonbn,submit,172,1707274569,1
60,83,12,mod_folder,view,175,1707641130,1
61,95,13,mod_book,view,191,1707443149,1
62,95,12,mod_resource,view,167,1707448643,1
63,95,12,mod_bigbluebuttonbn,attempt,172,1707629316,1
64,95,6,mod_page,submit,81,1707245211,1
65,95,4,mod_page,attempt,54,1707569826,1
66,95,3,mod_url,attempt,37,1707418356,1
67,95,14,mod_page,view,207,1707684129,1
68,95,13,mod_url,submit,185,1707574105,1
69,101,4,mod_page,view,57,1707311681,1
70,101,11,mod_url,view,154,1707528496,1
71,101,12,mod_resource,view,166,1707640009,1
72,101,1,mod_lesson,view,8,1707489001,1
73,101,11,mod_resource,view,156,1707688906,1
74,101,7,mod_url,view,95,1707697962,1
75,101,10,mod_url,view,141,1707709792,1
76,101,12,mod_bigbluebuttonbn,view,172,1707743455,1
77,101,15,mod_resource,view,223,1707280572,1
78,101,2,mod_url,view,21,1707626763,1
79,113,4,mod_page,submit,57,1707744818,1
80,113,12,mod_folder,submit,169,1707226556,1
81,113,3,mod_book,attempt,44,1707288647,1
82,113,8,mod_resource,view,113,1707133359,1
83,113,5,mod_bigbluebuttonbn,view,65,1707545435,1
84,113,15,mod_resource,attempt,211,1707523547,1
85,113,8,mod_resource,submit,113,1707596080,1
86,113,11,mod_bigbluebuttonbn,submit,158,1707295562,1
87,113,8,mod_resource,view,113,1707584340,1
88,113,6,mod_bigbluebuttonbn,view,82,1707187439,1
89,113,9,mod_lesson,view,130,1707316017,1
90,113,1,mod_url,view,14,1707621352,1
91,113,7,mod_url,attempt,99,1707669144,1
92,132,10,mod_bigbluebuttonbn,view,144,1707590901,1
93,132,13,mod_url,submit,187,1707426241,1
94,135,12,mod_resource,attempt,177,1707336350,1
95,135,4,mod_book,view,50,1707645130,1
96,135,14,mod_lesson,attempt,204,1707382468,1
97,135,2,mod_url,view,30,1707653775,1
98,135,10,mod_lesson,view,148,1707342038,1
99,135,14,mod_url,submit,201,1707625262,1
100,135,2,mod_url,view,30,1707309675,1
101,135,9,mod_resource,view,128,1707281671,1
102,135,10,mod_lesson,submit,148,1707742127,1
103,139,4,mod_page,submit,57,1707176181,1
104,139,5,mod_bigbluebuttonbn,view,66,1707711038,1
105,139,7,mod_url,view,95,1707571384,1
106,143,4,mod_page,submit,54,1707539132,1
107,151,2,mod_resource,submit,20,1707188946,1
108,151,13,mod_url,view,185,1707717229,1
109,151,2,mod_lesson,view,23,1707350062,1
110,151,7,mod_url,view,99,1707626240,1
111,151,7,mod_bigbluebuttonbn,attempt,98,1707512803,1
112,151,4,mod_page,view,60,1707675699,1
113,151,14,mod_page,view,207,1707424439,1
114,151,14,mod_lesson,view,210,1707294536,1
115,151,1,mod_folder,view,6,1707579436,1
116,151,9,mod_lesson,submit,131,1707295324,1
117,151,10,mod_folder,view,143,1707418984,1
118,151,3,mod_bigbluebuttonbn,view,34,1707272865,1
119,151,5,mod_book,view,62,1707347937,1
120,151,8,mod_bigbluebuttonbn,view,119,1707263519,1
121,194,2,mod_page,submit,16,1707739238,1
122,194,8,mod_bigbluebuttonbn,view,119,1707526903,1
123,194,2,mod_page,submit,16,1707537248,1
124,194,11,mod_bigbluebuttonbn,submit,158,1707735502,1
125,194,6,mod_page,view,81,1707187864,1
126,194,1,mod_bigbluebuttonbn,view,13,1707485667,1
127,194,5,mod_bigbluebuttonbn,view,66,1707584918,1
128,194,3,mod_page,view,40,1707189518,1
129,194,9,mod_book,view,127,1707377437,1
130,194,14,mod_lesson,view,204,1707644760,1
131,194,3,mod_book,view,44,1707699580,1
132,194,2,mod_book,submit,22,1707231013,1
133,194,11,mod_page,view,161,1707469760,1
134,194,5,mod_folder,view,73,1707196258,1
135,198,8,mod_lesson,attempt,108,1707646810,1
136,198,8,mod_folder,view,120,1707303733,1
137,198,1,mod_url,view,2,1707227839,1
138,198,2,mod_page,view,16,1707583056,1
139,198,5,mod_page,attempt,72,1707314418,1
140,198,2,mod_lesson,view,28,1707750754,1
141,198,2,mod_lesson,view,28,1707588217,1
142,202,5,mod_page,attempt,72,1707720928,1
143,202,1,mod_url,view,14,1707547463,1
144,202,8,mod_lesson,submit,114,1707547692,1
145,202,8,mod_bigbluebuttonbn,view,119,1707514167,1
146,202,15,mod_url,view,214,1707215245,1
147,202,7,mod_url,view,95,1707596462,1
148,223,13,mod_lesson,view,193,1707658135,1
149,223,3,mod_url,view,41,1707258616,1
150,223,8,mod_book,view,106,1707377723,1
151,223,13,mod_resource,view,184,1707558827,1
152,223,9,mod_lesson,view,131,1707363310,1
153,223,13,mod_url,view,185,1707264671,1
154,235,13,mod_book,submit,182,1707206007,1
155,235,13,mod_url,view,187,1707695010,1
156,235,8,mod_folder,view,107,1707205723,1
157,235,1,mod_url,view,14,1707182587,1
158,235,12,mod_url,view,168,1707216039,1
159,257,1,mod_lesson,submit,8,1707565240,1
160,257,2,mod_url,view,30,1707447429,1
161,257,15,mod_resource,view,223,1707656601,1
162,257,6,mod_resource,view,84,1707656702,1
163,257,5,mod_bigbluebuttonbn,view,66,1707623634,1
164,257,12,mod_folder,view,169,1707347843,1
165,257,8,mod_folder,submit,120,1707407456,1
166,265,6,mod_resource,view,84,1707395974,1
167,265,1,mod_url,view,2,1707556601,1
168,265,9,mod_book,attempt,132,1707641864,1
169,265,11,mod_url,view,154,1707781818,1
170,265,8,mod_lesson,view,114,1707533967,1
171,275,8,mod_resource,view,113,1707297965,1
172,275,12,mod_book,submit,180,1707791777,1
173,275,1,mod_lesson,view,8,1707498743,1
174,275,12,mod_folder,view,169,1707470742,1
175,275,5,mod_bigbluebuttonbn,view,66,1707613641,1
176,275,15,mod_folder,submit,220,1707653551,1
177,275,13,mod_lesson,view,193,1707330615,1
178,275,7,mod_folder,view,96,1707374272,1
179,275,11,mod_resource,submit,164,1707639146,1
180,295,1,mod_page,view,4,1707291057,1
181,295,13,mod_lesson,view,193,1707520847,1
182,296,10,mod_bigbluebuttonbn,view,145,1707165164,1
183,296,11,mod_page,submit,162,1707362158,1
184,296,11,mod_resource,view,164,1707333411,1
185,296,5,mod_page,submit,71,1707209179,1
186,298,11,mod_resource,view,157,1707178875,1
187,298,6,mod_bigbluebuttonbn,view,82,1707303568,1
188,298,14,mod_lesson,view,210,1707511995,1
189,298,5,mod_bigbluebuttonbn,view,65,1707231695,1
190,298,11,mod_page,view,160,1707220657,1
191,298,13,mod_book,view,191,1707320098,1
192,298,13,mod_book,view,191,1707264367,1
193,298,11,mod_bigbluebuttonbn,submit,158,1707712732,1
194,298,12,mod_bigbluebuttonbn,submit,171,1707690203,1
195,298,14,mod_page,submit,207,1707451358,1
196,298,9,mod_book,attempt,134,1707439173,1
197,298,4,mod_resource,attempt,56,1707614366,1
198,300,12,mod_url,view,170,1707740103,1
199,300,1,mod_bigbluebuttonbn,view,13,1707632794,1
200,300,10,mod_bigbluebuttonbn,view,144,1707567862,1
201,300,12,mod_bigbluebuttonbn,view,172,1707652763,1
202,300,5,mod_book,submit,62,1707600733,1
203,300,14,mod_lesson,attempt,204,1707321563,1
204,300,10,mod_lesson,view,148,1707250529,1
205,300,2,mod_lesson,view,23,1707206086,1
206,300,10,mod_url,view,141,1707551392,1
207,300,5,mod_url,view,70,1707197823,1
208,300,10,mod_bigbluebuttonbn,view,144,1707204183,1
209,300,13,mod_url,view,187,1707732516,1
210,301,13,mod_resource,view,184,1707590032,1
211,301,10,mod_url,view,140,1707581048,1
212,301,8,mod_lesson,view,114,1707592814,1
213,301,7,mod_resource,view,92,1707325656,1
214,301,7,mod_url,submit,95,1707293041,1
215,301,1,mod_page,view,3,1707472635,1
216,301,6,mod_book,view,77,1707740523,1
217,305,1,mod_lesson,view,8,1707485664,1
218,305,6,mod_resource,view,87,1707225963,1
219,305,2,mod_resource,view,20,1707583175,1
220,305,12,mod_bigbluebuttonbn,view,171,1707712292,1
221,320,4,mod_page,view,54,1707248761,1
222,320,8,mod_lesson,view,108,1707173070,1
223,320,14,mod_lesson,view,204,1707535274,1
224,320,3,mod_url,submit,38,1707262409,1
225,320,2,mod_lesson,view,23,1707309000,1
226,320,7,mod_resource,view,92,1707754050,1
227,320,1,mod_bigbluebuttonbn,view,13,1707544576,1
228,333,6,mod_resource,attempt,86,1707321053,1
229,340,7,mod_resource,view,92,1707583970,1
230,340,13,mod_lesson,view,195,1707652561,1
231,340,11,mod_resource,view,165,1707454070,1
232,340,10,mod_url,view,140,1707488098,1
233,340,8,mod_bigbluebuttonbn,view,110,1707691571,1
234,340,11,mod_page,view,162,1707244038,1
235,340,7,mod_folder,view,96,1707302535,1
236,340,14,mod_lesson,view,210,1707565243,1
237,358,7,mod_bigbluebuttonbn,view,97,1707459945,1
238,358,13,mod_book,view,191,1707319444,1
239,358,14,mod_book,view,203,1707467845,1
240,358,2,mod_bigbluebuttonbn,view,29,1707241185,1
241,358,4,mod_bigbluebuttonbn,view,48,1707364814,1
242,358,10,mod_folder,view,143,1707656660,1
243,359,8,mod_bigbluebuttonbn,submit,110,1707254427,1
244,359,14,mod_resource,view,200,1707601735,1
245,359,8,mod_folder,attempt,107,1707496424,1
246,359,12,mod_folder,view,169,1707586649,1
247,359,1,mod_lesson,view,8,1707382499,1
248,359,7,mod_folder,view,105,1707576509,1
249,359,8,mod_resource,view,115,1707432194,1
250,359,7,mod_bigbluebuttonbn,view,97,1707658174,1
251,359,3,mod_bigbluebuttonbn,view,34,1707498127,1
252,370,10,mod_resource,submit,139,1707313141,1
253,370,12,mod_book,view,180,1707254177,1
254,370,2,mod_url,view,21,1707547460,1
255,370,4,mod_page,view,54,1707185475,1
256,370,6,mod_book,view,79,1707438373,1
257,370,7,mod_page,view,101,1707597835,1
258,370,3,mod_url,view,38,1707154226,1
259,370,6,mod_book,view,89,1707674732,1
260,382,4,mod_page,view,57,1707255369,1
261,383,1,mod_resource,view,10,1707634426,1
262,383,11,mod_resource,view,152,1707627354,1
263,383,14,mod_page,attempt,207,1707359464,1
264,386,2,mod_url,view,30,1707661969,1
265,386,11,mod_page,submit,162,1707552489,1
266,386,6,mod_resource,view,86,1707667674,1
267,386,6,mod_book,view,83,1707262862,1
268,386,12,mod_url,view,179,1707741997,1
269,386,15,mod_resource,view,211,1707428252,1
270,388,1,mod_folder,view,6,1707444264,1
271,388,6,mod_resource,view,84,1707574378,1
272,388,7,mod_resource,view,102,1707515859,1
273,388,3,mod_book,view,44,1707218214,1
274,388,3,mod_book,view,36,1707620802,1
275,388,2,mod_url,view,21,1707465047,1
276,388,12,mod_url,view,179,1707699333,1
277,388,4,mod_resource,view,56,1707528311,1
278,397,5,mod_bigbluebuttonbn,view,66,1707117650,1
279,397,5,mod_bigbluebuttonbn,view,69,1707258565,1
280,397,2,mod_url,view,27,1707338580,1
281,397,2,mod_url,submit,21,1707201500,1
282,397,6,mod_bigbluebuttonbn,view,82,1707528032,1
283,397,2,mod_url,view,30,1707319315,1
284,397,10,mod_lesson,view,148,1707664370,1
285,397,6,mod_resource,submit,84,1707434985,1
286,397,4,mod_page,view,54,1707760158,1
287,408,5,mod_bigbluebuttonbn,view,74,1707180714,1
288,408,6,mod_resource,submit,86,1707328223,1
289,408,1,mod_folder,view,6,1707575848,1
290,408,10,mod_bigbluebuttonbn,submit,144,1707601220,1
291,408,2,mod_lesson,view,17,1707189498,1
292,408,13,mod_url,view,187,1707279203,1
293,408,7,mod_folder,view,105,1707609567,1
294,408,10,mod_url,attempt,146,1707590828,1
295,408,10,mod_bigbluebuttonbn,view,145,1707649130,1
296,411,9,mod_book,view,129,1707562628,1
297,411,2,mod_url,view,27,1707496041,1
298,411,10,mod_resource,view,139,1707751011,1
299,411,10,mod_page,view,137,1707661589,1
300,411,11,mod_resource,view,152,1707319498,1
301,411,10,mod_url,view,141,1707204837,1
302,411,1,mod_url,view,2,1707322017,1
303,411,15,mod_lesson,attempt,224,1707132762,1
304,411,8,mod_folder,submit,120,1707291448,1
305,411,12,mod_url,view,168,1707189150,1
306,411,7,mod_bigbluebuttonbn,view,97,1707646285,1
307,411,2,mod_url,view,30,1707575891,1
308,411,6,mod_page,view,85,1707529202,1
309,411,15,mod_resource,view,223,1707278334,1
310,412,1,mod_lesson,view,8,1707504732,1
311,412,12,mod_bigbluebuttonbn,view,171,1707351780,1
312,412,7,mod_page,view,101,1707447190,1
313,412,12,mod_folder,view,169,1707332156,1
314,412,6,mod_book,view,77,1707284960,1
315,412,2,mod_bigbluebuttonbn,view,29,1707421695,1
316,412,1,mod_bigbluebuttonbn,view,13,1707220968,1
317,412,9,mod_book,view,132,1707432159,1
318,412,3,mod_url,view,38,1707318737,1
319,412,1,mod_lesson,view,11,1707227908,1
320,412,1,mod_url,view,15,1707580422,1
321,412,14,mod_book,view,203,1707449825,1
322,412,3,mod_page,attempt,40,1707482743,1
323,412,14,mod_url,view,201,1707517418,1
324,412,14,mod_lesson,view,204,1707487872,1
325,412,10,mod_folder,view,143,1707374348,1
326,412,10,mod_url,view,141,1707300098,1
327,412,7,mod_folder,view,105,1707458492,1
328,418,7,mod_lesson,submit,93,1707206924,1
329,418,3,mod_url,view,37,1707407108,1
330,418,8,mod_bigbluebuttonbn,view,110,1707597255,1
331,418,8,mod_folder,view,107,1707118826,1
332,430,7,mod_lesson,view,93,1707383749,1
333,430,2,mod_page,submit,16,1707657376,1
334,430,8,mod_bigbluebuttonbn,attempt,110,1707188597,1
335,430,12,mod_bigbluebuttonbn,view,171,1707573166,1
336,430,13,mod_book,submit,182,1707645184,1
337,430,3,mod_url,view,41,1707178915,1
338,430,7,mod_folder,view,96,1707534574,1
339,430,9,mod_resource,view,128,1707519430,1
340,430,10,mod_lesson,view,148,1707379906,1
341,430,12,mod_folder,submit,175,1707545827,1
342,430,2,mod_book,view,22,1707608744,1
343,430,3,mod_url,view,41,1707321204,1
344,430,7,mod_url,submit,104,1707316382,1
345,430,3,mod_url,submit,37,1707414491,1
346,430,4,mod_resource,view,56,1707611832,1
347,430,1,mod_lesson,view,8,1707240267,1
348,439,6,mod_resource,submit,84,1707574033,1
349,439,1,mod_bigbluebuttonbn,submit,13,1707524774,1
350,439,9,mod_book,view,129,1707531007,1
351,439,10,mod_page,attempt,137,1707637053,1
352,439,4,mod_lesson,view,53,1707293392,1
353,439,2,mod_url,view,30,1707541414,1
354,439,1,mod_page,view,3,1707339387,1
355,439,10,mod_page,view,137,1707301677,1
356,439,6,mod_book,view,89,1707224809,1
357,439,5,mod_bigbluebuttonbn,submit,69,1707473293,1
358,439,12,mod_folder,view,169,1707663569,1
359,439,3,mod_bigbluebuttonbn,view,34,1707355703,1
360,439,1,mod_page,submit,3,1707748051,1
361,439,14,mod_url,view,201,1707593653,1
362,439,3,mod_book,view,36,1707453958,1
363,439,10,mod_folder,view,143,1707547337,1
364,439,7,mod_url,view,95,1707641504,1
365,439,11,mod_page,submit,162,1707290395,1
366,439,3,mod_page,view,40,1707338686,1
367,439,7,mod_page,submit,101,1707444899,1
368,439,10,mod_folder,view,138,1707543970,1
369,439,1,mod_page,submit,3,1707546443,1
370,441,3,mod_book,view,44,1707255204,1
371,441,14,mod_book,view,203,1707466252,1
372,441,14,mod_url,view,209,1707459641,1
373,441,8,mod_folder,view,107,1707757907,1
374,441,7,mod_url,view,95,1707358472,1
375,441,6,mod_book,view,90,1707190040,1
376,441,1,mod_page,view,4,1707404426,1
377,447,11,mod_page,view,162,1707555405,1
378,447,6,mod_book,view,89,1707736923,1
379,447,8,mod_folder,view,107,1707536321,1
380,447,7,mod_url,view,95,1707443380,1
381,447,10,mod_folder,view,143,1707707519,1
382,447,4,mod_bigbluebuttonbn,view,48,1707452146,1
383,447,1,mod_lesson,view,8,1707204598,1
384,447,9,mod_page,view,123,1707347604,1
385,452,2,mod_book,submit,22,1707584254,1
386,452,15,mod_folder,view,220,1707443924,1
387,452,6,mod_bigbluebuttonbn,view,82,1707302197,1
388,452,2,mod_url,submit,30,1707200326,1
389,452,1,mod_url,attempt,15,1707194612,1
390,452,9,mod_book,view,134,1707711580,1
391,452,1,mod_lesson,view,8,1707320273,1
392,452,14,mod_page,view,207,1707221950,1
393,453,2,mod_book,submit,19,1707310240,1
394,453,7,mod_folder,submit,96,1707229581,1
395,453,11,mod_page,view,161,1707689008,1
396,453,13,mod_url,view,187,1707284818,1
397,453,13,mod_lesson,view,193,1707335649,1
398,453,13,mod_url,submit,185,1707740774,1
399,453,14,mod_url,submit,201,1707656346,1
400,453,11,mod_resource,submit,164,1707544464,1
401,459,15,mod_resource,view,211,1707535217,1
402,459,5,mod_bigbluebuttonbn,view,65,1707321058,1
403,459,10,mod_resource,attempt,139,1707348690,1
404,459,12,mod_book,view,180,1707388443,1
405,459,14,mod_book,view,203,1707137689,1
406,459,9,mod_book,submit,132,1707712488,1
407,459,3,mod_bigbluebuttonbn,view,34,1707641105,1
408,459,4,mod_page,submit,54,1707640643,1
409,460,7,mod_url,attempt,104,1707238730,1
410,460,13,mod_book,submit,191,1707753184,1
411,460,15,mod_lesson,view,224,1707382933,1
412,460,11,mod_bigbluebuttonbn,view,158,1707533630,1
413,460,11,mod_resource,view,156,1707279921,1
414,460,4,mod_page,submit,54,1707665808,1
415,460,7,mod_bigbluebuttonbn,attempt,98,1707244012,1
416,464,1,mod_book,submit,7,1707376407,1
417,464,1,mod_url,submit,2,1707749871,1
418,464,12,mod_bigbluebuttonbn,view,171,1707717164,1
419,464,10,mod_folder,submit,143,1707400837,1
420,464,6,mod_book,view,83,1707269332,1
421,464,12,mod_bigbluebuttonbn,view,171,1707681561,1
422,464,1,mod_url,view,14,1707665042,1
423,464,1,mod_url,attempt,2,1707494232,1
424,464,2,mod_url,view,27,1707491341,1
425,464,11,mod_page,view,161,1707602878,1
426,464,11,mod_bigbluebuttonbn,view,158,1707211512,1
427,464,10,mod_folder,view,138,1707505516,1
428,464,14,mod_book,view,203,1707743639,1
429,464,3,mod_book,view,44,1707461077,1
430,464,4,mod_page,attempt,60,1707156644,1
431,466,10,mod_resource,view,139,1707229370,1
432,466,7,mod_folder,view,96,1707322877,1
433,466,13,mod_book,attempt,191,1707701528,1
434,466,12,mod_bigbluebuttonbn,view,171,1707371677,1
435,466,7,mod_resource,view,102,1707660809,1
436,466,6,mod_bigbluebuttonbn,view,82,1707166337,1
437,466,11,mod_url,attempt,154,1707515432,1
438,468,10,mod_page,submit,137,1707249620,1
439,468,14,mod_lesson,view,210,1707612275,1
440,468,11,mod_resource,view,155,1707600128,1
441,468,5,mod_book,view,62,1707455574,1
442,468,9,mod_book,submit,129,1707175640,1
443,468,6,mod_book,view,89,1707412158,1
444,468,1,mod_url,view,15,1707708299,1
445,501,5,mod_bigbluebuttonbn,view,69,1707574127,1
446,501,6,mod_book,view,90,1707250310,1
447,501,10,mod_bigbluebuttonbn,view,145,1707299228,1
448,501,5,mod_resource,view,61,1707414259,1
449,501,10,mod_page,view,137,1707279717,1
450,501,3,mod_folder,view,39,1707270936,1
451,501,12,mod_folder,attempt,169,1707366630,1
452,501,12,mod_folder,view,169,1707239690,1
453,501,3,mod_book,view,44,1707507956,1
454,501,15,mod_url,submit,214,1707326640,1
455,501,10,mod_lesson,view,136,1707691156,1
456,501,9,mod_resource,submit,128,1707659412,1
457,501,11,mod_page,view,161,1707380606,1
458,501,10,mod_url,view,140,1707363559,1
459,503,3,mod_page,view,40,1707505513,1
460,503,15,mod_folder,view,220,1707308167,1
461,503,2,mod_url,submit,21,1707603151,1
462,503,6,mod_book,view,89,1707654897,1
463,527,5,mod_bigbluebuttonbn,view,66,1707697891,1
464,527,11,mod_page,view,162,1707624063,1
465,527,4,mod_resource,view,56,1707438972,1
466,527,14,mod_resource,view,200,1707612049,1
467,527,12,mod_bigbluebuttonbn,view,172,1707372483,1
468,527,12,mod_url,view,170,1707694272,1
469,527,13,mod_url,view,185,1707188382,1
470,527,2,mod_book,submit,19,1707763530,1
471,527,12,mod_resource,view,167,1707329623,1
472,527,12,mod_bigbluebuttonbn,view,171,1707452850,1
473,528,4,mod_resource,view,56,1707575056,1
474,528,5,mod_bigbluebuttonbn,view,69,1707280780,1
475,528,8,mod_book,view,106,1707658139,1
476,531,2,mod_url,view,30,1707465027,1
477,531,2,mod_url,submit,21,1707248684,1
478,531,12,mod_url,submit,179,1707340364,1
479,531,9,mod_book,view,129,1707461420,1
480,531,9,mod_resource,view,128,1707193562,1
481,531,5,mod_folder,view,73,1707644189,1
482,531,2,mod_lesson,view,23,1707494523,1
483,531,1,mod_folder,view,6,1707268777,1
484,531,11,mod_url,submit,154,1707319220,1
485,531,7,mod_resource,view,102,1707720613,1
486,531,12,mod_book,attempt,180,1707698102,1
487,531,9,mod_lesson,submit,130,1707452517,1
488,531,3,mod_url,view,41,1707235192,1
489,531,12,mod_resource,submit,173,1707129319,1
490,531,7,mod_url,view,99,1707702489,1
491,531,8,mod_folder,view,120,1707224131,1
492,577,5,mod_resource,view,61,1707596911,1
493,577,11,mod_bigbluebuttonbn,view,158,1707532930,1
494,577,8,mod_resource,view,115,1707751162,1
495,577,2,mod_url,view,27,1707380188,1
496,577,8,mod_resource,view,115,1707672028,1
497,577,10,mod_url,view,140,1707211721,1
498,577,2,mod_book,view,22,1707599758,1
499,599,12,mod_folder,view,169,1707331567,1
500,599,1,mod_url,view,2,1707635938,1
501,599,11,mod_resource,view,155,1707388950,1
502,599,7,mod_lesson,view,93,1707478989,1
503,603,1,mod_url,submit,15,1707519971,1
504,603,3,mod_folder,view,39,1707162191,1
505,603,1,mod_lesson,view,8,1707634240,1
506,603,11,mod_resource,view,157,1707209190,1
507,607,7,mod_url,submit,99,1707605906,1
508,607,1,mod_url,view,2,1707206452,1
509,607,14,mod_lesson,view,210,1707190453,1
510,607,8,mod_resource,view,115,1707240863,1
511,607,10,mod_folder,attempt,143,1707309782,1
512,607,3,mod_folder,view,39,1707258328,1
513,612,10,mod_resource,view,139,1707389233,1
514,612,9,mod_book,attempt,132,1707451538,1
515,612,4,mod_book,view,50,1707416470,1
516,612,15,mod_resource,view,223,1707584183,1
517,612,10,mod_lesson,view,148,1707201097,1
518,612,3,mod_page,view,40,1707591547,1
519,612,8,mod_resource,view,115,1707514360,1
520,612,7,mod_url,view,104,1707204425,1
521,612,5,mod_url,view,70,1707441675,1
522,612,6,mod_page,view,85,1707221695,1
523,612,8,mod_resource,submit,113,1707367335,1
524,612,1,mod_book,view,7,1707621763,1
525,612,8,mod_resource,view,115,1707267044,1
526,612,1,mod_lesson,view,11,1707460927,1
527,612,2,mod_url,view,30,1707496696,1
528,612,5,mod_url,view,70,1707457278,1
529,617,7,mod_url,view,104,1707506455,1
530,617,1,mod_bigbluebuttonbn,submit,13,1707644396,1
531,617,7,mod_page,submit,101,1707415908,1
532,617,1,mod_lesson,view,8,1707166129,1
533,617,11,mod_resource,view,157,1707207614,1
534,617,11,mod_resource,submit,151,1707537991,1
535,617,3,mod_page,submit,40,1707427597,1
536,617,9,mod_page,attempt,123,1707460080,1
537,617,10,mod_url,attempt,140,1707619020,1
538,617,2,mod_book,view,26,1707651907,1
539,631,4,mod_page,view,60,1707542079,1
540,631,6,mod_resource,view,87,1707337357,1
541,631,9,mod_page,view,123,1707441051,1
542,631,5,mod_bigbluebuttonbn,submit,74,1707273277,1
543,631,15,mod_url,view,214,1707685026,1
544,631,15,mod_resource,view,211,1707612436,1
545,631,13,mod_book,view,191,1707715806,1
546,631,8,mod_book,view,106,1707362083,1
547,631,14,mod_url,view,209,1707374799,1
548,631,13,mod_url,view,185,1707365496,1
549,634,15,mod_book,submit,221,1707735319,1
550,634,5,mod_page,submit,71,1707256902,1
551,634,5,mod_page,view,71,1707273063,1
552,634,3,mod_book,submit,44,1707149270,1
553,634,7,mod_resource,view,92,1707752661,1
554,634,1,mod_page,view,4,1707644491,1
555,634,10,mod_lesson,attempt,136,1707243471,1
556,634,10,mod_bigbluebuttonbn,submit,150,1707378123,1
557,634,2,mod_lesson,view,23,1707240473,1
558,634,5,mod_page,view,71,1707440986,1
559,634,2,mod_book,view,22,1707711978,1
560,634,11,mod_resource,view,151,1707357007,1
561,634,14,mod_resource,view,200,1707656180,1
562,640,7,mod_resource,view,92,1707186827,1
563,640,6,mod_lesson,view,78,1707639831,1
564,640,7,mod_bigbluebuttonbn,view,98,1707739912,1
565,640,1,mod_folder,view,6,1707770927,1
566,640,4,mod_resource,view,56,1707235666,1
567,640,7,mod_page,view,101,1707410358,1
568,640,13,mod_page,view,194,1707527295,1
569,640,14,mod_url,view,209,1707195209,1
570,640,1,mod_page,view,4,1707265684,1
571,655,7,mod_page,submit,101,1707599718,1
572,655,1,mod_lesson,view,11,1707493909,1
573,655,9,mod_lesson,view,121,1707617956,1
574,655,7,mod_url,view,95,1707654016,1
575,655,13,mod_book,view,182,1707237023,1
576,661,15,mod_lesson,view,224,1707195334,1
577,661,5,mod_resource,attempt,61,1707240007,1
578,661,1,mod_page,submit,3,1707325730,1
579,661,11,mod_resource,attempt,156,1707298827,1
