id,userid,itemid,finalgrade,timemodified
166,58,18,80.73,1709524800
167,95,18,80.91,1709524800
168,113,18,59.86,1709524800
169,135,18,78.16,1709524800
170,223,18,50.04,1709524800
171,301,18,71.1,1709524800
172,333,18,57.71,1709524800
173,359,18,56.58,1709524800
174,383,18,60.15,1709524800
175,388,18,29.71,1709524800
176,397,18,66.79,1709524800
177,453,18,36.28,1709524800
178,460,18,43.91,1709524800
179,464,18,67.55,1709524800
180,531,18,40.62,1709524800
181,617,18,82.17,1709524800
182,634,18,62.47,1709524800
183,657,18,16.84,1709524800
184,665,18,85.12,1709524800
185,672,18,85.65,1709524800
186,713,18,54.91,1709524800
187,715,18,54.71,1709524800
188,750,18,28.14,1709524800
189,761,18,48.44,1709524800
190,877,18,66.93,1709524800
191,902,18,76.86,1709524800
192,930,18,29.28,1709524800
193,976,18,58.2,1709524800
194,977,18,56.92,1709524800
195,979,18,67.57,1709524800
196,981,18,37.65,1709524800
197,1039,18,69.49,1709524800
198,1044,18,12.01,1709524800
199,1048,18,84.35,1709524800
200,1049,18,55.44,1709524800
201,1068,18,70.27,1709524800
202,1087,18,57.32,1709524800
203,1088,18,44.78,1709524800
204,1092,18,24.96,1709524800
205,1099,18,8.26,1709524800
206,1113,18,15.24,1709524800
207,1118,18,38.99,1709524800
208,1129,18,12.41,1709524800
209,1135,18,54.01,1709524800
210,1167,18,45.8,1709524800
211,1207,18,49.48,1709524800
212,1238,18,62.4,1709524800
213,1266,18,46.59,1709524800
214,1331,18,29.91,1709524800
215,1366,18,55.49,1709524800
216,1387,18,72.14,1709524800
217,1413,18,73.5,1709524800
218,1430,18,76.5,1709524800
219,1432,18,47.13,1709524800
220,1447,18,8.69,1709524800
221,1453,18,31.28,1709524800
222,1469,18,43.3,1709524800
223,1487,18,33.42,1709524800
224,1495,18,53.99,1709524800
225,1543,18,66.62,1709524800
226,1550,18,75.44,1709524800
227,1553,18,65.4,1709524800
228,1578,18,73.17,1709524800
229,1600,18,56.38,1709524800
230,1626,18,67.22,1709524800
231,1641,18,54.08,1709524800
232,1648,18,54.07,1709524800
233,1651,18,70.22,1709524800
234,1673,18,34.11,1709524800
235,1702,18,18.61,1709524800
236,1715,18,85.03,1709524800
237,1720,18,46.52,1709524800
238,1727,18,73.05,1709524800
239,1806,18,30.74,1709524800
240,1959,18,57.72,1709524800
241,1979,18,44.97,1709524800
242,1983,18,22.33,1709524800
243,13,19,54.53,1709179200
244,19,19,55.07,1709179200
245,34,19,57.64,1709179200
246,58,19,67.06,1709179200
247,95,19,76.16,1709179200
248,113,19,40.96,1709179200
249,139,19,64.05,1709179200
250,151,19,51.78,1709179200
251,275,19,50.19,1709179200
252,298,19,28.01,1709179200
253,301,19,64.54,1709179200
254,320,19,25.05,1709179200
255,333,19,6.91,1709179200
256,383,19,54.21,1709179200
257,403,19,51.11,1709179200
258,405,19,31.23,1709179200
259,408,19,37.28,1709179200
260,430,19,71.32,1709179200
261,439,19,43.24,1709179200
262,450,19,48.71,1709179200
263,460,19,47.92,1709179200
264,464,19,68.28,1709179200
265,501,19,63.85,1709179200
266,531,19,80.1,1709179200
267,577,19,9.97,1709179200
268,617,19,23.57,1709179200
269,634,19,62.22,1709179200
270,661,19,69.03,1709179200
271,672,19,57.57,1709179200
272,711,19,36.16,1709179200
273,724,19,9.61,1709179200
274,749,19,63.26,1709179200
275,761,19,46.35,1709179200
276,774,19,59.73,1709179200
277,824,19,47.39,1709179200
278,877,19,75.64,1709179200
279,902,19,67.49,1709179200
280,935,19,59.39,1709179200
281,977,19,66.36,1709179200
282,979,19,50.51,1709179200
283,1010,19,60.04,1709179200
284,1039,19,52.77,1709179200
285,1051,19,36.07,1709179200
286,1062,19,32.81,1709179200
287,1068,19,56.61,1709179200
288,1083,19,59.75,1709179200
289,1092,19,46.58,1709179200
290,1113,19,24.79,1709179200
291,1118,19,64.91,1709179200
292,1144,19,51.25,1709179200
293,1152,19,33.59,1709179200
294,1238,19,58.75,1709179200
295,1241,19,33.7,1709179200
296,1306,19,38.3,1709179200
297,1347,19,84.56,1709179200
298,1351,19,17.41,1709179200
299,1366,19,71.53,1709179200
300,1387,19,70.62,1709179200
301,1400,19,64.66,1709179200
302,1451,19,36.98,1709179200
303,1492,19,46.71,1709179200
304,1495,19,49.29,1709179200
305,1500,19,12.15,1709179200
306,1553,19,57.89,1709179200
307,1577,19,57.17,1709179200
308,1578,19,82.83,1709179200
309,1600,19,86.89,1709179200
310,1607,19,42.15,1709179200
311,1619,19,12.15,1709179200
312,1651,19,76.59,1709179200
313,1675,19,58.5,1709179200
314,1677,19,45.31,1709179200
315,1720,19,47.81,1709179200
316,1727,19,72.97,1709179200
317,1737,19,41.38,1709179200
318,1802,19,31.47,1709179200
319,1884,19,41.4,1709179200
320,1903,19,63.14,1709179200
321,1905,19,58.74,1709179200
322,1934,19,40.11,1709179200
323,1959,19,61.56,1709179200
324,1960,19,35.54,1709179200
325,1961,19,36.27,1709179200
326,1965,19,74.16,1709179200
327,1967,19,37.44,1709179200
328,1999,19,40.58,1709179200
329,24,20,12.58,1709784000
330,34,20,82.1,1709784000
331,58,20,85.38,1709784000
332,83,20,26.05,1709784000
333,95,20,42.46,1709784000
334,113,20,63.2,1709784000
335,135,20,64.5,1709784000
336,194,20,20.59,1709784000
337,298,20,28.11,1709784000
338,333,20,66.72,1709784000
339,359,20,59.01,1709784000
340,397,20,54.1,1709784000
341,411,20,75.01,1709784000
342,412,20,64.8,1709784000
343,430,20,40.76,1709784000
344,439,20,67.47,1709784000
345,464,20,68.28,1709784000
346,466,20,55.53,1709784000
347,634,20,66.41,1709784000
348,665,20,49.88,1709784000
349,713,20,62.62,1709784000
350,715,20,42.62,1709784000
351,749,20,68.28,1709784000
352,750,20,58.07,1709784000
353,761,20,78.63,1709784000
354,774,20,84.2,1709784000
355,789,20,45.78,1709784000
356,877,20,75.91,1709784000
357,930,20,44.88,1709784000
358,935,20,46.53,1709784000
359,977,20,66.66,1709784000
360,979,20,68.5,1709784000
361,1010,20,83.65,1709784000
362,1034,20,23.42,1709784000
363,1039,20,57.0,1709784000
364,1043,20,12.41,1709784000
365,1044,20,54.31,1709784000
366,1051,20,0.0,1709784000
367,1060,20,44.34,1709784000
368,1079,20,85.35,1709784000
369,1118,20,64.94,1709784000
370,1128,20,54.15,1709784000
371,1167,20,52.31,1709784000
372,1212,20,71.33,1709784000
373,1229,20,9.15,1709784000
374,1238,20,47.37,1709784000
375,1346,20,61.27,1709784000
376,1347,20,70.86,1709784000
377,1351,20,59.72,1709784000
378,1366,20,72.05,1709784000
379,1377,20,54.77,1709784000
380,1400,20,58.74,1709784000
381,1451,20,41.75,1709784000
382,1469,20,64.8,1709784000
383,1495,20,85.17,1709784000
384,1500,20,35.36,1709784000
385,1543,20,79.05,1709784000
386,1553,20,62.33,1709784000
387,1577,20,35.59,1709784000
388,1600,20,75.06,1709784000
389,1632,20,32.58,1709784000
390,1677,20,44.56,1709784000
391,1715,20,52.37,1709784000
392,1716,20,46.35,1709784000
393,1727,20,56.93,1709784000
394,1767,20,23.64,1709784000
395,1777,20,32.72,1709784000
396,1806,20,29.08,1709784000
397,1959,20,60.45,1709784000
398,1960,20,71.28,1709784000
399,1961,20,76.96,1709784000
400,1967,20,90.16,1709784000
401,1979,20,34.44,1709784000
402,1992,20,77.91,1709784000
403,1999,20,45.91,1709784000
404,13,21,82.09,1709697600
405,34,21,75.59,1709697600
406,58,21,75.14,1709697600
407,80,21,72.5,1709697600
408,95,21,67.57,1709697600
409,101,21,16.44,1709697600
410,135,21,63.49,1709697600
411,139,21,0.0,1709697600
412,194,21,56.04,1709697600
413,223,21,21.64,1709697600
414,298,21,35.84,1709697600
415,301,21,92.24,1709697600
416,383,21,50.51,1709697600
417,403,21,17.66,1709697600
418,412,21,63.52,1709697600
419,439,21,35.81,1709697600
420,450,21,31.92,1709697600
421,460,21,64.36,1709697600
422,464,21,62.07,1709697600
423,466,21,23.1,1709697600
424,501,21,41.25,1709697600
425,531,21,68.36,1709697600
426,634,21,48.11,1709697600
427,665,21,65.15,1709697600
428,672,21,81.38,1709697600
429,824,21,17.94,1709697600
430,853,21,44.58,1709697600
431,902,21,68.81,1709697600
432,979,21,73.29,1709697600
433,982,21,22.33,1709697600
434,1010,21,69.56,1709697600
435,1039,21,55.89,1709697600
436,1048,21,53.35,1709697600
437,1060,21,67.26,1709697600
438,1062,21,13.59,1709697600
439,1092,21,50.39,1709697600
440,1113,21,51.53,1709697600
441,1118,21,50.23,1709697600
442,1128,21,76.15,1709697600
443,1166,21,12.95,1709697600
444,1167,21,45.33,1709697600
445,1193,21,19.09,1709697600
446,1207,21,57.5,1709697600
447,1212,21,17.63,1709697600
448,1238,21,71.87,1709697600
449,1258,21,40.04,1709697600
450,1266,21,41.91,1709697600
451,1331,21,37.69,1709697600
452,1336,21,30.29,1709697600
453,1346,21,54.61,1709697600
454,1347,21,76.16,1709697600
455,1351,21,60.86,1709697600
456,1366,21,71.38,1709697600
457,1385,21,5.59,1709697600
458,1387,21,48.35,1709697600
459,1400,21,83.83,1709697600
460,1430,21,44.39,1709697600
461,1466,21,40.43,1709697600
462,1469,21,0.0,1709697600
463,1492,21,94.08,1709697600
464,1495,21,60.35,1709697600
465,1543,21,81.0,1709697600
466,1550,21,62.83,1709697600
467,1553,21,65.86,1709697600
468,1562,21,9.78,1709697600
469,1578,21,2.88,1709697600
470,1600,21,64.97,1709697600
471,1651,21,84.23,1709697600
472,1673,21,49.17,1709697600
473,1675,21,58.07,1709697600
474,1715,21,39.76,1709697600
475,1716,21,93.87,1709697600
476,1727,21,72.51,1709697600
477,1903,21,79.57,1709697600
478,1934,21,70.37,1709697600
479,1959,21,39.41,1709697600
480,1960,21,35.64,1709697600
481,1965,21,43.19,1709697600
482,1992,21,50.94,1709697600
483,1999,21,38.88,1709697600
484,24,22,25.16,1709265600
485,80,22,67.12,1709265600
486,83,22,65.36,1709265600
487,113,22,66.04,1709265600
488,135,22,51.74,1709265600
489,139,22,75.07,1709265600
490,257,22,57.71,1709265600
491,275,22,51.78,1709265600
492,295,22,40.24,1709265600
493,298,22,67.12,1709265600
494,300,22,32.49,1709265600
495,359,22,51.1,1709265600
496,383,22,45.5,1709265600
497,408,22,60.72,1709265600
498,418,22,34.9,1709265600
499,439,22,65.86,1709265600
500,450,22,55.14,1709265600
501,453,22,59.34,1709265600
502,460,22,77.52,1709265600
503,464,22,66.58,1709265600
504,531,22,30.29,1709265600
505,599,22,19.46,1709265600
506,661,22,77.86,1709265600
507,665,22,72.55,1709265600
508,672,22,58.43,1709265600
509,675,22,66.45,1709265600
510,715,22,71.12,1709265600
511,749,22,43.01,1709265600
512,761,22,53.06,1709265600
513,774,22,44.73,1709265600
514,824,22,82.71,1709265600
515,854,22,21.36,1709265600
516,877,22,61.17,1709265600
517,935,22,11.67,1709265600
518,949,22,23.6,1709265600
519,977,22,60.05,1709265600
520,982,22,65.56,1709265600
521,990,22,58.15,1709265600
522,1010,22,75.09,1709265600
523,1039,22,68.71,1709265600
524,1043,22,48.42,1709265600
525,1051,22,30.76,1709265600
526,1062,22,75.89,1709265600
527,1079,22,20.84,1709265600
528,1092,22,66.82,1709265600
529,1104,22,54.58,1709265600
530,1144,22,64.98,1709265600
531,1169,22,48.11,1709265600
532,1190,22,61.38,1709265600
533,1193,22,29.21,1709265600
534,1207,22,54.96,1709265600
535,1238,22,71.73,1709265600
536,1258,22,67.46,1709265600
537,1266,22,47.52,1709265600
538,1347,22,67.78,1709265600
539,1351,22,52.5,1709265600
540,1366,22,60.22,1709265600
541,1377,22,47.17,1709265600
542,1387,22,52.19,1709265600
543,1398,22,55.24,1709265600
544,1400,22,47.27,1709265600
545,1430,22,46.88,1709265600
546,1432,22,75.22,1709265600
547,1466,22,19.25,1709265600
548,1469,22,53.96,1709265600
549,1492,22,48.62,1709265600
550,1495,22,69.6,1709265600
551,1500,22,74.18,1709265600
552,1543,22,62.95,1709265600
553,1553,22,96.7,1709265600
554,1600,22,52.22,1709265600
555,1641,22,36.69,1709265600
556,1648,22,25.7,1709265600
557,1651,22,57.03,1709265600
558,1675,22,62.86,1709265600
559,1677,22,59.59,1709265600
560,1716,22,41.41,1709265600
561,1720,22,58.63,1709265600
562,1727,22,55.92,1709265600
563,1731,22,37.13,1709265600
564,1777,22,58.06,1709265600
565,1802,22,43.86,1709265600
566,1870,22,77.43,1709265600
567,1884,22,29.91,1709265600
568,1960,22,65.95,1709265600
569,1965,22,49.02,1709265600
570,13,23,64.37,1709179200
571,34,23,74.96,1709179200
572,53,23,7.41,1709179200
573,58,23,42.55,1709179200
574,113,23,69.04,1709179200
575,135,23,56.43,1709179200
576,139,23,62.73,1709179200
577,194,23,74.22,1709179200
578,257,23,30.11,1709179200
579,275,23,48.8,1709179200
580,295,23,43.08,1709179200
581,300,23,49.47,1709179200
582,359,23,61.63,1709179200
583,383,23,77.47,1709179200
584,397,23,47.98,1709179200
585,411,23,73.13,1709179200
586,430,23,52.49,1709179200
587,447,23,0.0,1709179200
588,459,23,26.43,1709179200
589,464,23,60.67,1709179200
590,617,23,25.89,1709179200
591,631,23,30.65,1709179200
592,661,23,58.97,1709179200
593,665,23,71.12,1709179200
594,672,23,61.94,1709179200
595,750,23,49.21,1709179200
596,761,23,53.94,1709179200
597,774,23,90.4,1709179200
598,789,23,73.03,1709179200
599,914,23,21.53,1709179200
600,977,23,62.51,1709179200
601,979,23,50.78,1709179200
602,982,23,14.24,1709179200
603,1010,23,51.39,1709179200
604,1044,23,62.68,1709179200
605,1062,23,60.83,1709179200
606,1087,23,39.21,1709179200
607,1088,23,41.16,1709179200
608,1092,23,47.28,1709179200
609,1104,23,22.75,1709179200
610,1113,23,51.25,1709179200
611,1118,23,22.68,1709179200
612,1144,23,21.56,1709179200
613,1207,23,72.43,1709179200
614,1212,23,48.41,1709179200
615,1331,23,72.1,1709179200
616,1339,23,8.26,1709179200
617,1347,23,53.58,1709179200
618,1366,23,62.48,1709179200
619,1387,23,54.49,1709179200
620,1413,23,38.69,1709179200
621,1430,23,70.53,1709179200
622,1432,23,38.22,1709179200
623,1447,23,16.02,1709179200
624,1469,23,42.4,1709179200
625,1471,23,30.69,1709179200
626,1495,23,65.18,1709179200
627,1500,23,75.9,1709179200
628,1543,23,67.66,1709179200
629,1550,23,40.16,1709179200
630,1600,23,64.39,1709179200
631,1607,23,17.09,1709179200
632,1651,23,74.07,1709179200
633,1673,23,60.44,1709179200
634,1716,23,20.84,1709179200
635,1720,23,45.76,1709179200
636,1727,23,68.08,1709179200
637,1802,23,68.37,1709179200
638,1806,23,62.96,1709179200
639,1903,23,31.95,1709179200
640,1934,23,66.58,1709179200
641,1967,23,29.57,1709179200
642,1979,23,29.13,1709179200
643,8,31,11.5,1710000000
644,13,31,47.6,1709827200
645,19,31,48.1,1709481600
646,32,31,27.5,1709740800
647,34,31,70.6,1709740800
648,43,31,24.9,1709568000
649,45,31,46.1,1709654400
650,53,31,19.8,1709568000
651,55,31,27.7,1709654400
652,58,31,63.5,1710000000
653,73,31,13.0,1709913600
654,83,31,38.1,1709654400
655,95,31,67.1,1709827200
656,96,31,40.3,1709913600
657,113,31,76.3,1710000000
658,118,31,46.7,1709827200
659,135,31,52.7,1709913600
660,139,31,27.8,1709568000
661,178,31,21.6,1709827200
662,186,31,42.8,1709568000
663,189,31,63.2,1710000000
664,194,31,39.0,1709654400
665,198,31,13.4,1710000000
666,202,31,14.0,1709654400
667,214,31,54.9,1709568000
668,223,31,50.9,1709827200
669,224,31,9.2,1710000000
670,246,31,8.7,1709740800
671,257,31,38.7,1710086400
672,275,31,47.1,1709481600
673,279,31,11.9,1709481600
674,300,31,55.2,1709827200
675,301,31,59.1,1710086400
676,305,31,25.4,1709568000
677,334,31,36.2,1709913600
678,340,31,13.0,1709481600
679,358,31,17.2,1710086400
680,359,31,58.1,1709827200
681,370,31,18.2,1710000000
682,380,31,58.7,1709568000
683,382,31,16.2,1710000000
684,383,31,51.1,1709740800
685,397,31,33.5,1709913600
686,405,31,10.1,1710086400
687,406,31,33.5,1709827200
688,408,31,76.2,1710086400
689,411,31,32.3,1709913600
690,412,31,49.9,1709568000
691,418,31,38.5,1709913600
692,430,31,58.0,1709827200
693,432,31,41.5,1710086400
694,439,31,54.3,1709913600
695,447,31,43.2,1709740800
696,452,31,15.4,1709913600
697,453,31,46.7,1709913600
698,459,31,64.0,1709654400
699,464,31,53.5,1709740800
700,470,31,86.7,1709740800
701,501,31,19.8,1710086400
702,502,31,44.6,1709654400
703,506,31,49.3,1710086400
704,531,31,20.6,1709740800
705,554,31,43.4,1710086400
706,572,31,57.6,1710000000
707,603,31,21.4,1710000000
708,612,31,45.5,1710000000
709,614,31,19.2,1710000000
710,617,31,37.1,1709913600
711,631,31,21.6,1709654400
712,634,31,67.8,1710000000
713,657,31,30.7,1709913600
714,661,31,48.3,1709654400
715,662,31,34.4,1709481600
716,672,31,67.9,1709654400
717,675,31,77.9,1710086400
718,688,31,4.1,1709913600
719,695,31,24.1,1710086400
720,704,31,8.3,1709481600
721,713,31,66.0,1710086400
722,714,31,47.9,1709568000
723,715,31,33.1,1709481600
724,724,31,20.6,1709827200
725,749,31,34.9,1709654400
726,750,31,43.4,1709913600
727,761,31,39.1,1710000000
728,774,31,45.3,1709568000
729,782,31,3.0,1709913600
730,789,31,37.2,1709568000
731,824,31,9.8,1709481600
732,829,31,46.9,1709654400
733,838,31,31.7,1710000000
734,853,31,30.0,1710000000
735,857,31,45.2,1710000000
736,867,31,0.0,1709827200
737,871,31,42.0,1709568000
738,877,31,71.2,1709827200
739,902,31,57.0,1709481600
740,912,31,7.7,1709913600
741,915,31,12.8,1709568000
742,935,31,20.1,1709568000
743,942,31,54.1,1709913600
744,949,31,17.0,1710000000
745,965,31,6.6,1709827200
746,967,31,40.7,1709568000
747,976,31,49.9,1710000000
748,977,31,64.9,1709913600
749,979,31,70.2,1710086400
750,982,31,16.3,1709913600
751,990,31,40.2,1709568000
752,999,31,18.3,1710000000
753,1010,31,66.2,1709827200
754,1017,31,50.0,1710000000
755,1034,31,16.5,1709740800
756,1039,31,58.2,1710000000
757,1048,31,35.9,1710000000
758,1051,31,33.8,1709568000
759,1060,31,41.7,1709568000
760,1062,31,46.2,1709654400
761,1068,31,68.7,1709654400
762,1071,31,26.3,1709740800
763,1075,31,14.6,1710086400
764,1079,31,48.9,1709568000
765,1082,31,16.1,1709481600
766,1083,31,23.7,1709913600
767,1087,31,36.2,1709740800
768,1088,31,46.0,1710000000
769,1092,31,39.8,1710000000
770,1099,31,39.6,1709740800
771,1120,31,43.0,1709568000
772,1129,31,24.0,1710000000
773,1166,31,31.5,1709740800
774,1167,31,36.3,1710086400
775,1169,31,56.2,1709827200
776,1190,31,26.9,1709913600
777,1200,31,69.4,1709827200
778,1207,31,34.3,1709740800
779,1212,31,51.2,1710086400
780,1238,31,77.7,1710000000
781,1241,31,14.4,1710086400
782,1250,31,44.4,1709740800
783,1257,31,48.0,1710000000
784,1266,31,37.8,1709740800
785,1268,31,8.7,1710086400
786,1279,31,5.5,1709913600
787,1306,31,13.7,1709913600
788,1312,31,23.5,1710000000
789,1331,31,29.3,1709827200
790,1339,31,44.4,1710086400
791,1346,31,21.0,1709913600
792,1347,31,65.6,1709827200
793,1366,31,72.7,1709827200
794,1372,31,22.3,1709654400
795,1377,31,25.9,1709481600
796,1378,31,26.8,1709481600
797,1387,31,43.9,1709827200
798,1398,31,37.7,1709568000
799,1400,31,77.7,1710086400
800,1412,31,11.3,1710086400
801,1413,31,45.3,1710086400
802,1414,31,22.6,1709568000
803,1419,31,5.6,1709740800
804,1420,31,28.2,1709481600
805,1431,31,13.2,1710000000
806,1432,31,51.0,1709568000
807,1439,31,13.9,1709654400
808,1440,31,4.0,1709654400
809,1451,31,53.3,1710086400
810,1453,31,30.6,1709568000
811,1459,31,28.4,1710000000
812,1465,31,10.0,1709481600
813,1469,31,45.8,1709740800
814,1492,31,44.8,1709913600
815,1543,31,71.9,1709740800
816,1550,31,49.2,1710086400
817,1553,31,48.0,1709827200
818,1560,31,10.1,1709740800
819,1563,31,7.5,1709913600
820,1600,31,77.0,1709654400
821,1607,31,8.3,1709654400
822,1632,31,20.2,1709481600
823,1648,31,51.7,1709654400
824,1651,31,67.4,1709568000
825,1673,31,54.4,1709568000
826,1675,31,42.8,1709654400
827,1699,31,18.3,1709481600
828,1700,31,35.5,1709740800
829,1704,31,48.1,1710086400
830,1706,31,37.3,1709740800
831,1715,31,64.7,1710086400
832,1720,31,17.9,1710000000
833,1727,31,90.8,1709654400
834,1737,31,23.5,1709913600
835,1758,31,31.2,1709568000
836,1759,31,22.7,1709568000
837,1767,31,17.9,1710086400
838,1777,31,50.6,1710086400
839,1806,31,40.5,1709568000
840,1813,31,43.2,1709654400
841,1829,31,8.3,1710086400
842,1852,31,20.4,1709827200
843,1862,31,42.1,1709913600
844,1870,31,46.6,1709481600
845,1903,31,38.4,1710086400
846,1920,31,14.0,1709654400
847,1934,31,28.5,1710086400
848,1950,31,24.2,1709740800
849,1951,31,14.9,1709913600
850,1959,31,39.0,1710086400
851,1960,31,37.5,1710000000
852,1961,31,60.8,1710000000
853,1965,31,34.8,1710000000
854,1979,31,51.6,1709913600
855,1992,31,60.9,1709740800
856,1999,31,66.3,1709913600
857,8,32,58.3,1710036000
858,13,32,64.6,1710036000
859,19,32,31.1,1709690400
860,24,32,14.1,1709604000
861,34,32,63.7,1709949600
862,40,32,52.5,1709431200
863,43,32,29.1,1709949600
864,53,32,16.3,1709431200
865,55,32,32.1,1709604000
866,58,32,82.4,1709949600
867,80,32,40.8,1709949600
868,95,32,61.7,1709776800
869,96,32,29.4,1710036000
870,118,32,46.8,1709949600
871,132,32,4.7,1709431200
872,135,32,57.9,1709863200
873,139,32,28.1,1709517600
874,151,32,25.8,1710036000
875,194,32,47.3,1710036000
876,208,32,44.9,1709690400
877,223,32,51.7,1709431200
878,252,32,10.7,1709776800
879,257,32,19.5,1710036000
880,265,32,16.0,1709690400
881,275,32,17.8,1709517600
882,279,32,12.9,1709517600
883,295,32,42.1,1709690400
884,296,32,15.7,1709776800
885,298,32,58.4,1709690400
886,301,32,54.2,1709517600
887,321,32,23.9,1709431200
888,333,32,46.3,1709690400
889,342,32,10.0,1710036000
890,345,32,18.9,1709517600
891,358,32,26.3,1709863200
892,359,32,37.7,1709863200
893,380,32,44.5,1709949600
894,383,32,33.5,1710036000
895,390,32,38.7,1709776800
896,397,32,46.8,1709690400
897,402,32,19.8,1710036000
898,403,32,30.3,1709431200
899,406,32,21.1,1709604000
