id,userid,itemid,finalgrade,timemodified,source
164,34,18,71.44,1709524800,teacher
165,53,18,33.52,1709524800,teacher
166,58,18,80.73,1709524800,teacher
167,95,18,80.91,1709524800,teacher
168,113,18,59.86,1709524800,teacher
169,135,18,78.16,1709524800,teacher
170,223,18,50.04,1709524800,teacher
171,301,18,71.1,1709524800,teacher
172,333,18,57.71,1709524800,teacher
173,359,18,56.58,1709524800,teacher
174,383,18,60.15,1709524800,teacher
175,388,18,29.71,1709524800,teacher
176,397,18,66.79,1709524800,teacher
177,453,18,36.28,1709524800,teacher
178,460,18,43.91,1709524800,teacher
179,464,18,67.55,1709524800,teacher
180,531,18,40.62,1709524800,teacher
181,617,18,82.17,1709524800,teacher
182,634,18,62.47,1709524800,teacher
183,657,18,16.84,1709524800,teacher
184,665,18,85.12,1709524800,teacher
185,672,18,85.65,1709524800,teacher
186,713,18,54.91,1709524800,teacher
187,715,18,54.71,1709524800,teacher
188,750,18,28.14,1709524800,teacher
189,761,18,48.44,1709524800,teacher
190,877,18,66.93,1709524800,teacher
191,902,18,76.86,1709524800,teacher
192,930,18,29.28,1709524800,teacher
193,976,18,58.2,1709524800,teacher
194,977,18,56.92,1709524800,teacher
195,979,18,67.57,1709524800,teacher
196,981,18,37.65,1709524800,teacher
197,1039,18,69.49,1709524800,teacher
198,1044,18,12.01,1709524800,teacher
199,1048,18,84.35,1709524800,teacher
200,1049,18,55.44,1709524800,teacher
201,1068,18,70.27,1709524800,teacher
202,1087,18,57.32,1709524800,teacher
203,1088,18,44.78,1709524800,teacher
204,1092,18,24.96,1709524800,teacher
205,1099,18,8.26,1709524800,teacher
206,1113,18,15.24,1709524800,teacher
207,1118,18,38.99,1709524800,teacher
208,1129,18,12.41,1709524800,teacher
209,1135,18,54.01,1709524800,teacher
210,1167,18,45.8,1709524800,teacher
211,1207,18,49.48,1709524800,teacher
212,1238,18,62.4,1709524800,teacher
213,1266,18,46.59,1709524800,teacher
214,1331,18,29.91,1709524800,teacher
215,1366,18,55.49,1709524800,teacher
216,1387,18,72.14,1709524800,teacher
217,1413,18,73.5,1709524800,teacher
218,1430,18,76.5,1709524800,teacher
219,1432,18,47.13,1709524800,teacher
220,1447,18,8.69,1709524800,teacher
221,1453,18,31.28,1709524800,teacher
222,1469,18,43.3,1709524800,teacher
223,1487,18,33.42,1709524800,teacher
224,1495,18,53.99,1709524800,teacher
225,1543,18,66.62,1709524800,teacher
226,1550,18,75.44,1709524800,teacher
227,1553,18,65.4,1709524800,teacher
228,1578,18,73.17,1709524800,teacher
229,1600,18,56.38,1709524800,teacher
230,1626,18,67.22,1709524800,teacher
231,1641,18,54.08,1709524800,teacher
232,1648,18,54.07,1709524800,teacher
233,1651,18,70.22,1709524800,teacher
234,1673,18,34.11,1709524800,teacher
235,1702,18,18.61,1709524800,teacher
236,1715,18,85.03,1709524800,teacher
237,1720,18,46.52,1709524800,teacher
238,1727,18,73.05,1709524800,teacher
239,1806,18,30.74,1709524800,teacher
240,1959,18,57.72,1709524800,teacher
241,1979,18,44.97,1709524800,teacher
242,1983,18,22.33,1709524800,teacher
243,13,19,54.53,1709179200,teacher
244,19,19,55.07,1709179200,teacher
245,34,19,57.64,1709179200,teacher
246,58,19,67.06,1709179200,teacher
247,95,19,76.16,1709179200,teacher
248,113,19,40.96,1709179200,teacher
249,139,19,64.05,1709179200,teacher
250,151,19,51.78,1709179200,teacher
251,275,19,50.19,1709179200,teacher
252,298,19,28.01,1709179200,teacher
253,301,19,64.54,1709179200,teacher
254,320,19,25.05,1709179200,teacher
255,333,19,6.91,1709179200,teacher
256,383,19,54.21,1709179200,teacher
257,403,19,51.11,1709179200,teacher
258,405,19,31.23,1709179200,teacher
259,408,19,37.28,1709179200,teacher
260,430,19,71.32,1709179200,teacher
261,439,19,43.24,1709179200,teacher
262,450,19,48.71,1709179200,teacher
263,460,19,47.92,1709179200,teacher
264,464,19,68.28,1709179200,teacher
265,501,19,63.85,1709179200,teacher
266,531,19,80.1,1709179200,teacher
267,577,19,9.97,1709179200,teacher
268,617,19,23.57,1709179200,teacher
269,634,19,62.22,1709179200,teacher
270,661,19,69.03,1709179200,teacher
271,672,19,57.57,1709179200,teacher
272,711,19,36.16,1709179200,teacher
273,724,19,9.61,1709179200,teacher
274,749,19,63.26,1709179200,teacher
275,761,19,46.35,1709179200,teacher
276,774,19,59.73,1709179200,teacher
277,824,19,47.39,1709179200,teacher
278,877,19,75.64,1709179200,teacher
279,902,19,67.49,1709179200,teacher
280,935,19,59.39,1709179200,teacher
281,977,19,66.36,1709179200,teacher
282,979,19,50.51,1709179200,teacher
283,1010,19,60.04,1709179200,teacher
284,1039,19,52.77,1709179200,teacher
285,1051,19,36.07,1709179200,teacher
286,1062,19,32.81,1709179200,teacher
287,1068,19,56.61,1709179200,teacher
288,1083,19,59.75,1709179200,teacher
289,1092,19,46.58,1709179200,teacher
290,1113,19,24.79,1709179200,teacher
291,1118,19,64.91,1709179200,teacher
292,1144,19,51.25,1709179200,teacher
293,1152,19,33.59,1709179200,teacher
294,1238,19,58.75,1709179200,teacher
295,1241,19,33.7,1709179200,teacher
296,1306,19,38.3,1709179200,teacher
297,1347,19,84.56,1709179200,teacher
298,1351,19,17.41,1709179200,teacher
299,1366,19,71.53,1709179200,teacher
300,1387,19,70.62,1709179200,teacher
301,1400,19,64.66,1709179200,teacher
302,1451,19,36.98,1709179200,teacher
303,1492,19,46.71,1709179200,teacher
304,1495,19,49.29,1709179200,teacher
305,1500,19,12.15,1709179200,teacher
306,1553,19,57.89,1709179200,teacher
307,1577,19,57.17,1709179200,teacher
308,1578,19,82.83,1709179200,teacher
309,1600,19,86.89,1709179200,teacher
310,1607,19,42.15,1709179200,teacher
311,1619,19,12.15,1709179200,teacher
312,1651,19,76.59,1709179200,teacher
313,1675,19,58.5,1709179200,teacher
314,1677,19,45.31,1709179200,teacher
315,1720,19,47.81,1709179200,teacher
316,1727,19,72.97,1709179200,teacher
317,1737,19,41.38,1709179200,teacher
318,1802,19,31.47,1709179200,teacher
319,1884,19,41.4,1709179200,teacher
320,1903,19,63.14,1709179200,teacher
321,1905,19,58.74,1709179200,teacher
322,1934,19,40.11,1709179200,teacher
323,1959,19,61.56,1709179200,teacher
324,1960,19,35.54,1709179200,teacher
325,1961,19,36.27,1709179200,teacher
326,1965,19,74.16,1709179200,teacher
327,1967,19,37.44,1709179200,teacher
328,1999,19,40.58,1709179200,teacher
329,24,20,12.58,1709784000,teacher
330,34,20,82.1,1709784000,teacher
331,58,20,85.38,1709784000,teacher
332,83,20,26.05,1709784000,teacher
333,95,20,42.46,1709784000,teacher
334,113,20,63.2,1709784000,teacher
335,135,20,64.5,1709784000,teacher
336,194,20,20.59,1709784000,teacher
337,298,20,28.11,1709784000,teacher
338,333,20,66.72,1709784000,teacher
339,359,20,59.01,1709784000,teacher
340,397,20,54.1,1709784000,teacher
341,411,20,75.01,1709784000,teacher
342,412,20,64.8,1709784000,teacher
343,430,20,40.76,1709784000,teacher
344,439,20,67.47,1709784000,teacher
345,464,20,68.28,1709784000,teacher
346,466,20,55.53,1709784000,teacher
347,634,20,66.41,1709784000,teacher
348,665,20,49.88,1709784000,teacher
349,713,20,62.62,1709784000,teacher
350,715,20,42.62,1709784000,teacher
351,749,20,68.28,1709784000,teacher
352,750,20,58.07,1709784000,teacher
353,761,20,78.63,1709784000,teacher
354,774,20,84.2,1709784000,teacher
355,789,20,45.78,1709784000,teacher
356,877,20,75.91,1709784000,teacher
357,930,20,44.88,1709784000,teacher
358,935,20,46.53,1709784000,teacher
359,977,20,66.66,1709784000,teacher
360,979,20,68.5,1709784000,teacher
361,1010,20,83.65,1709784000,teacher
362,1034,20,23.42,1709784000,teacher
363,1039,20,57.0,1709784000,teacher
364,1043,20,12.41,1709784000,teacher
365,1044,20,54.31,1709784000,teacher
366,1051,20,0.0,1709784000,teacher
367,1060,20,44.34,1709784000,teacher
368,1079,20,85.35,1709784000,teacher
369,1118,20,64.94,1709784000,teacher
370,1128,20,54.15,1709784000,teacher
371,1167,20,52.31,1709784000,teacher
372,1212,20,71.33,1709784000,teacher
373,1229,20,9.15,1709784000,teacher
374,1238,20,47.37,1709784000,teacher
375,1346,20,61.27,1709784000,teacher
376,1347,20,70.86,1709784000,teacher
377,1351,20,59.72,1709784000,teacher
378,1366,20,72.05,1709784000,teacher
379,1377,20,54.77,1709784000,teacher
380,1400,20,58.74,1709784000,teacher
381,1451,20,41.75,1709784000,teacher
382,1469,20,64.8,1709784000,teacher
383,1495,20,85.17,1709784000,teacher
384,1500,20,35.36,1709784000,teacher
385,1543,20,79.05,1709784000,teacher
386,1553,20,62.33,1709784000,teacher
387,1577,20,35.59,1709784000,teacher
388,1600,20,75.06,1709784000,teacher
389,1632,20,32.58,1709784000,teacher
390,1677,20,44.56,1709784000,teacher
391,1715,20,52.37,1709784000,teacher
392,1716,20,46.35,1709784000,teacher
393,1727,20,56.93,1709784000,teacher
394,1767,20,23.64,1709784000,teacher
395,1777,20,32.72,1709784000,teacher
396,1806,20,29.08,1709784000,teacher
397,1959,20,60.45,1709784000,teacher
398,1960,20,71.28,1709784000,teacher
399,1961,20,76.96,1709784000,teacher
400,1967,20,90.16,1709784000,teacher
401,1979,20,34.44,1709784000,teacher
402,1992,20,77.91,1709784000,teacher
403,1999,20,45.91,1709784000,teacher
404,13,21,82.09,1709697600,teacher
405,34,21,75.59,1709697600,teacher
406,58,21,75.14,1709697600,teacher
407,80,21,72.5,1709697600,teacher
408,95,21,67.57,1709697600,teacher
409,101,21,16.44,1709697600,teacher
410,135,21,63.49,1709697600,teacher
411,139,21,0.0,1709697600,teacher
412,194,21,56.04,1709697600,teacher
413,223,21,21.64,1709697600,teacher
414,298,21,35.84,1709697600,teacher
415,301,21,92.24,1709697600,teacher
416,383,21,50.51,1709697600,teacher
417,403,21,17.66,1709697600,teacher
418,412,21,63.52,1709697600,teacher
419,439,21,35.81,1709697600,teacher
420,450,21,31.92,1709697600,teacher
421,460,21,64.36,1709697600,teacher
422,464,21,62.07,1709697600,teacher
423,466,21,23.1,1709697600,teacher
424,501,21,41.25,1709697600,teacher
425,531,21,68.36,1709697600,teacher
426,634,21,48.11,1709697600,teacher
427,665,21,65.15,1709697600,teacher
428,672,21,81.38,1709697600,teacher
429,824,21,17.94,1709697600,teacher
430,853,21,44.58,1709697600,teacher
431,902,21,68.81,1709697600,teacher
432,979,21,73.29,1709697600,teacher
433,982,21,22.33,1709697600,teacher
434,1010,21,69.56,1709697600,teacher
435,1039,21,55.89,1709697600,teacher
436,1048,21,53.35,1709697600,teacher
437,1060,21,67.26,1709697600,teacher
438,1062,21,13.59,1709697600,teacher
439,1092,21,50.39,1709697600,teacher
440,1113,21,51.53,1709697600,teacher
441,1118,21,50.23,1709697600,teacher
442,1128,21,76.15,1709697600,teacher
443,1166,21,12.95,1709697600,teacher
444,1167,21,45.33,1709697600,teacher
445,1193,21,19.09,1709697600,teacher
446,1207,21,57.5,1709697600,teacher
447,1212,21,17.63,1709697600,teacher
448,1238,21,71.87,1709697600,teacher
449,1258,21,40.04,1709697600,teacher
450,1266,21,41.91,1709697600,teacher
451,1331,21,37.69,1709697600,teacher
452,1336,21,30.29,1709697600,teacher
453,1346,21,54.61,1709697600,teacher
454,1347,21,76.16,1709697600,teacher
455,1351,21,60.86,1709697600,teacher
456,1366,21,71.38,1709697600,teacher
457,1385,21,5.59,1709697600,teacher
458,1387,21,48.35,1709697600,teacher
459,1400,21,83.83,1709697600,teacher
460,1430,21,44.39,1709697600,teacher
461,1466,21,40.43,1709697600,teacher
462,1469,21,0.0,1709697600,teacher
463,1492,21,94.08,1709697600,teacher
464,1495,21,60.35,1709697600,teacher
465,1543,21,81.0,1709697600,teacher
466,1550,21,62.83,1709697600,teacher
467,1553,21,65.86,1709697600,teacher
468,1562,21,9.78,1709697600,teacher
469,1578,21,2.88,1709697600,teacher
470,1600,21,64.97,1709697600,teacher
471,1651,21,84.23,1709697600,teacher
472,1673,21,49.17,1709697600,teacher
473,1675,21,58.07,1709697600,teacher
474,1715,21,39.76,1709697600,teacher
475,1716,21,93.87,1709697600,teacher
476,1727,21,72.51,1709697600,teacher
477,1903,21,79.57,1709697600,teacher
478,1934,21,70.37,1709697600,teacher
479,1959,21,39.41,1709697600,teacher
480,1960,21,35.64,1709697600,teacher
481,1965,21,43.19,1709697600,teacher
482,1992,21,50.94,1709697600,teacher
483,1999,21,38.88,1709697600,teacher
484,24,22,25.16,1709265600,teacher
485,80,22,67.12,1709265600,teacher
486,83,22,65.36,1709265600,teacher
487,113,22,66.04,1709265600,teacher
488,135,22,51.74,1709265600,teacher
489,139,22,75.07,1709265600,teacher
490,257,22,57.71,1709265600,teacher
491,275,22,51.78,1709265600,teacher
492,295,22,40.24,1709265600,teacher
493,298,22,67.12,1709265600,teacher
494,300,22,32.49,1709265600,teacher
495,359,22,51.1,1709265600,teacher
496,383,22,45.5,1709265600,teacher
497,408,22,60.72,1709265600,teacher
498,418,22,34.9,1709265600,teacher
499,439,22,65.86,1709265600,teacher
500,450,22,55.14,1709265600,teacher
501,453,22,59.34,1709265600,teacher
502,460,22,77.52,1709265600,teacher
503,464,22,66.58,1709265600,teacher
504,531,22,30.29,1709265600,teacher
505,599,22,19.46,1709265600,teacher
506,661,22,77.86,1709265600,teacher
507,665,22,72.55,1709265600,teacher
508,672,22,58.43,1709265600,teacher
509,675,22,66.45,1709265600,teacher
510,715,22,71.12,1709265600,teacher
511,749,22,43.01,1709265600,teacher
512,761,22,53.06,1709265600,teacher
513,774,22,44.73,1709265600,teacher
514,824,22,82.71,1709265600,teacher
515,854,22,21.36,1709265600,teacher
516,877,22,61.17,1709265600,teacher
517,935,22,11.67,1709265600,teacher
518,949,22,23.6,1709265600,teacher
519,977,22,60.05,1709265600,teacher
520,982,22,65.56,1709265600,teacher
521,990,22,58.15,1709265600,teacher
522,1010,22,75.09,1709265600,teacher
523,1039,22,68.71,1709265600,teacher
524,1043,22,48.42,1709265600,teacher
525,1051,22,30.76,1709265600,teacher
526,1062,22,75.89,1709265600,teacher
527,1079,22,20.84,1709265600,teacher
528,1092,22,66.82,1709265600,teacher
529,1104,22,54.58,1709265600,teacher
530,1144,22,64.98,1709265600,teacher
531,1169,22,48.11,1709265600,teacher
532,1190,22,61.38,1709265600,teacher
533,1193,22,29.21,1709265600,teacher
534,1207,22,54.96,1709265600,teacher
535,1238,22,71.73,1709265600,teacher
536,1258,22,67.46,1709265600,teacher
537,1266,22,47.52,1709265600,teacher
538,1347,22,67.78,1709265600,teacher
539,1351,22,52.5,1709265600,teacher
540,1366,22,60.22,1709265600,teacher
541,1377,22,47.17,1709265600,teacher
542,1387,22,52.19,1709265600,teacher
543,1398,22,55.24,1709265600,teacher
544,1400,22,47.27,1709265600,teacher
545,1430,22,46.88,1709265600,teacher
546,1432,22,75.22,1709265600,teacher
547,1466,22,19.25,1709265600,teacher
548,1469,22,53.96,1709265600,teacher
549,1492,22,48.62,1709265600,teacher
550,1495,22,69.6,1709265600,teacher
551,1500,22,74.18,1709265600,teacher
552,1543,22,62.95,1709265600,teacher
553,1553,22,96.7,1709265600,teacher
554,1600,22,52.22,1709265600,teacher
555,1641,22,36.69,1709265600,teacher
556,1648,22,25.7,1709265600,teacher
557,1651,22,57.03,1709265600,teacher
558,1675,22,62.86,1709265600,teacher
559,1677,22,59.59,1709265600,teacher
560,1716,22,41.41,1709265600,teacher
561,1720,22,58.63,1709265600,teacher
562,1727,22,55.92,1709265600,teacher
563,1731,22,37.13,1709265600,teacher
564,1777,22,58.06,1709265600,teacher
565,1802,22,43.86,1709265600,teacher
566,1870,22,77.43,1709265600,teacher
567,1884,22,29.91,1709265600,teacher
568,1960,22,65.95,1709265600,teacher
569,1965,22,49.02,1709265600,teacher
570,13,23,64.37,1709179200,teacher
571,34,23,74.96,1709179200,teacher
572,53,23,7.41,1709179200,teacher
573,58,23,42.55,1709179200,teacher
574,113,23,69.04,1709179200,teacher
575,135,23,56.43,1709179200,teacher
576,139,23,62.73,1709179200,teacher
577,194,23,74.22,1709179200,teacher
578,257,23,30.11,1709179200,teacher
579,275,23,48.8,1709179200,teacher
580,295,23,43.08,1709179200,teacher
581,300,23,49.47,1709179200,teacher
582,359,23,61.63,1709179200,teacher
583,383,23,77.47,1709179200,teacher
584,397,23,47.98,1709179200,teacher
585,411,23,73.13,1709179200,teacher
586,430,23,52.49,1709179200,teacher
587,447,23,0.0,1709179200,teacher
588,459,23,26.43,1709179200,teacher
589,464,23,60.67,1709179200,teacher
590,617,23,25.89,1709179200,teacher
591,631,23,30.65,1709179200,teacher
592,661,23,58.97,1709179200,teacher
593,665,23,71.12,1709179200,teacher
594,672,23,61.94,1709179200,teacher
595,750,23,49.21,1709179200,teacher
596,761,23,53.94,1709179200,teacher
597,774,23,90.4,1709179200,teacher
598,789,23,73.03,1709179200,teacher
599,914,23,21.53,1709179200,teacher
600,977,23,62.51,1709179200,teacher
601,979,23,50.78,1709179200,teacher
602,982,23,14.24,1709179200,teacher
603,1010,23,51.39,1709179200,teacher
604,1044,23,62.68,1709179200,teacher
605,1062,23,60.83,1709179200,teacher
606,1087,23,39.21,1709179200,teacher
607,1088,23,41.16,1709179200,teacher
608,1092,23,47.28,1709179200,teacher
609,1104,23,22.75,1709179200,teacher
610,1113,23,51.25,1709179200,teacher
611,1118,23,22.68,1709179200,teacher
612,1144,23,21.56,1709179200,teacher
613,1207,23,72.43,1709179200,teacher
614,1212,23,48.41,1709179200,teacher
615,1331,23,72.1,1709179200,teacher
616,1339,23,8.26,1709179200,teacher
617,1347,23,53.58,1709179200,teacher
618,1366,23,62.48,1709179200,teacher
619,1387,23,54.49,1709179200,teacher
620,1413,23,38.69,1709179200,teacher
621,1430,23,70.53,1709179200,teacher
622,1432,23,38.22,1709179200,teacher
623,1447,23,16.02,1709179200,teacher
624,1469,23,42.4,1709179200,teacher
625,1471,23,30.69,1709179200,teacher
626,1495,23,65.18,1709179200,teacher
627,1500,23,75.9,1709179200,teacher
628,1543,23,67.66,1709179200,teacher
629,1550,23,40.16,1709179200,teacher
630,1600,23,64.39,1709179200,teacher
631,1607,23,17.09,1709179200,teacher
632,1651,23,74.07,1709179200,teacher
633,1673,23,60.44,1709179200,teacher
634,1716,23,20.84,1709179200,teacher
635,1720,23,45.76,1709179200,teacher
636,1727,23,68.08,1709179200,teacher
637,1802,23,68.37,1709179200,teacher
638,1806,23,62.96,1709179200,teacher
639,1903,23,31.95,1709179200,teacher
640,1934,23,66.58,1709179200,teacher
641,1967,23,29.57,1709179200,teacher
642,1979,23,29.13,1709179200,teacher
643,8,31,11.5,1710000000,teacher
644,13,31,47.6,1709827200,teacher
645,19,31,48.1,1709481600,teacher
646,32,31,27.5,1709740800,teacher
647,34,31,70.6,1709740800,teacher
648,43,31,24.9,1709568000,teacher
649,45,31,46.1,1709654400,teacher
650,53,31,19.8,1709568000,teacher
651,55,31,27.7,1709654400,teacher
652,58,31,63.5,1710000000,teacher
653,73,31,13.0,1709913600,teacher
654,83,31,38.1,1709654400,teacher
655,95,31,67.1,1709827200,teacher
656,96,31,40.3,1709913600,teacher
657,113,31,76.3,1710000000,teacher
658,118,31,46.7,1709827200,teacher
659,135,31,52.7,1709913600,teacher
660,139,31,27.8,1709568000,teacher
661,178,31,21.6,1709827200,teacher
662,186,31,42.8,1709568000,teacher
663,189,31,63.2,1710000000,teacher
664,194,31,39.0,1709654400,teacher
665,198,31,13.4,1710000000,teacher
666,202,31,14.0,1709654400,teacher
667,214,31,54.9,1709568000,teacher
668,223,31,50.9,1709827200,teacher
669,224,31,9.2,1710000000,teacher
670,246,31,8.7,1709740800,teacher
671,257,31,38.7,1710086400,teacher
672,275,31,47.1,1709481600,teacher
673,279,31,11.9,1709481600,teacher
674,300,31,55.2,1709827200,teacher
675,301,31,59.1,1710086400,teacher
676,305,31,25.4,1709568000,teacher
677,334,31,36.2,1709913600,teacher
678,340,31,13.0,1709481600,teacher
679,358,31,17.2,1710086400,teacher
680,359,31,58.1,1709827200,teacher
681,370,31,18.2,1710000000,teacher
682,380,31,58.7,1709568000,teacher
683,382,31,16.2,1710000000,teacher
684,383,31,51.1,1709740800,teacher
685,397,31,33.5,1709913600,teacher
686,405,31,10.1,1710086400,teacher
687,406,31,33.5,1709827200,teacher
688,408,31,76.2,1710086400,teacher
689,411,31,32.3,1709913600,teacher
690,412,31,49.9,1709568000,teacher
691,418,31,38.5,1709913600,teacher
692,430,31,58.0,1709827200,teacher
693,432,31,41.5,1710086400,teacher
694,439,31,54.3,1709913600,teacher
695,447,31,43.2,1709740800,teacher
696,452,31,15.4,1709913600,teacher
697,453,31,46.7,1709913600,teacher
698,459,31,64.0,1709654400,teacher
699,464,31,53.5,1709740800,teacher
700,470,31,86.7,1709740800,teacher
701,501,31,19.8,1710086400,teacher
702,502,31,44.6,1709654400,teacher
703,506,31,49.3,1710086400,teacher
704,531,31,20.6,1709740800,teacher
705,554,31,43.4,1710086400,teacher
706,572,31,57.6,1710000000,teacher
707,603,31,21.4,1710000000,teacher
708,612,31,45.5,1710000000,teacher
709,614,31,19.2,1710000000,teacher
710,617,31,37.1,1709913600,teacher
711,631,31,21.6,1709654400,teacher
712,634,31,67.8,1710000000,teacher
713,657,31,30.7,1709913600,teacher
714,661,31,48.3,1709654400,teacher
715,662,31,34.4,1709481600,teacher
