id,quiz,userid,uniqueid,timestart,timefinish,sumgrades,state,duration_minutes
92,1,714,92,1709222273,1709222400,47.9,finished,2.1
93,1,715,93,1709220593,1709222400,33.1,finished,30.1
94,1,724,94,1709220657,1709222256,20.6,finished,26.66
95,1,749,95,1709221861,1709222400,34.9,finished,8.98
96,1,750,96,1709222237,1709222400,43.4,finished,2.71
97,1,761,97,1709219977,1709222400,39.1,finished,40.38
98,1,774,98,1709219176,1709220465,45.3,finished,21.47
99,1,782,99,1709221817,1709222400,3.0,finished,9.71
100,1,789,100,1709220286,1709221778,37.2,finished,24.87
101,1,824,101,1709221909,1709222400,9.8,finished,8.17
102,1,829,102,1709220931,1709222388,46.9,finished,24.29
103,1,838,103,1709218815,1709219819,31.7,finished,16.72
104,1,853,104,1709219940,1709222026,30.0,finished,34.75
105,1,857,105,1709219347,1709221890,45.2,finished,42.39
106,1,867,106,1709221626,1709222400,0.0,finished,12.9
107,1,871,107,1709220275,1709222400,42.0,finished,35.41
108,1,877,108,1709218949,1709222307,71.2,finished,55.97
109,1,902,109,1709219775,1709222400,57.0,finished,43.74
110,1,912,110,1709221034,1709222400,7.7,finished,22.76
111,1,914,111,1709220235,1709221326,14.2,finished,18.19
112,1,915,112,1709220549,1709222361,12.8,finished,30.2
113,1,930,113,1709219282,1709221512,42.6,finished,37.17
114,1,935,114,1709219382,1709221369,20.1,finished,33.11
115,1,937,115,1709220405,1709222400,30.1,finished,33.25
116,1,942,116,1709221968,1709222400,54.1,finished,7.2
117,1,949,117,1709221841,1709222400,17.0,finished,9.31
118,1,965,118,1709222253,1709222400,6.6,finished,2.45
119,1,967,119,1709221964,1709222400,40.7,finished,7.26
120,1,976,120,1709220608,1709222400,49.9,finished,29.86
121,1,977,121,1709219200,1709222400,64.9,finished,53.33
122,1,979,122,1709218804,1709221882,70.2,finished,51.3
123,1,982,123,1709221115,1709222400,16.3,finished,21.41
124,1,990,124,1709219469,1709222221,40.2,finished,45.86
125,1,999,125,1709219388,1709221439,18.3,finished,34.2
126,1,1007,126,1709220656,1709222400,18.3,finished,29.06
127,1,1010,127,1709220348,1709222400,66.2,finished,34.18
128,1,1017,128,1709220810,1709222400,50.0,finished,26.5
129,1,1027,129,1709221335,1709222400,24.5,finished,17.75
130,1,1034,130,1709221060,1709222400,16.5,finished,22.32
131,1,1039,131,1709220748,1709222400,58.2,finished,27.53
132,1,1043,132,1709220850,1709222400,54.0,finished,25.82
133,1,1044,133,1709220267,1709222400,66.7,finished,35.54
134,1,1048,134,1709222241,1709222400,35.9,finished,2.65
135,1,1051,135,1709222204,1709222400,33.8,finished,3.26
136,1,1060,136,1709221384,1709222400,41.7,finished,16.93
137,1,1062,137,1709221208,1709222400,46.2,finished,19.85
138,1,1066,138,1709221001,1709222400,23.2,finished,23.32
139,1,1068,139,1709221974,1709222400,68.7,finished,7.09
140,1,1071,140,1709219259,1709220455,26.3,finished,19.93
141,1,1075,141,1709220905,1709222222,14.6,finished,21.96
142,1,1079,142,1709221520,1709222400,48.9,finished,14.66
143,1,1082,143,1709220145,1709221017,16.1,finished,14.53
144,1,1083,144,1709220450,1709221416,23.7,finished,16.09
145,1,1087,145,1709220260,1709222400,36.2,finished,35.67
146,1,1088,146,1709221320,1709222400,46.0,finished,17.99
147,1,1092,147,1709221335,1709222400,39.8,finished,17.75
148,1,1099,148,1709222204,1709222400,39.6,finished,3.25
149,1,1109,149,1709219189,1709220789,43.5,finished,26.67
150,1,1113,150,1709219782,1709222225,45.7,finished,40.71
151,1,1118,151,1709222158,1709222400,27.9,finished,4.03
152,1,1120,152,1709219040,1709219905,43.0,finished,14.43
153,1,1128,153,1709219007,1709222034,51.7,finished,50.44
154,1,1129,154,1709220513,1709222400,24.0,finished,31.45
155,1,1134,155,1709222178,1709222400,52.1,finished,3.69
156,1,1144,156,1709219016,1709221669,27.9,finished,44.22
157,1,1166,157,1709219220,1709220473,31.5,finished,20.87
158,1,1167,158,1709222225,1709222400,36.3,finished,2.9
159,1,1169,159,1709218826,1709220992,56.2,finished,36.1
160,1,1190,160,1709220959,1709222400,26.9,finished,24.01
161,1,1200,161,1709221915,1709222400,69.4,finished,8.07
162,1,1207,162,1709219819,1709221892,34.3,finished,34.55
163,1,1212,163,1709219732,1709221014,51.2,finished,21.37
164,1,1238,164,1709222109,1709222400,77.7,finished,4.83
165,1,1241,165,1709219596,1709221433,14.4,finished,30.63
166,1,1250,166,1709219548,1709220812,44.4,finished,21.06
167,1,1257,167,1709221930,1709222400,48.0,finished,7.83
168,1,1266,168,1709219237,1709221900,37.8,finished,44.37
169,1,1268,169,1709220501,1709221115,8.7,finished,10.24
170,1,1279,170,1709220607,1709221723,5.5,finished,18.6
171,1,1306,171,1709220986,1709222273,13.7,finished,21.46
172,1,1312,172,1709218974,1709221012,23.5,finished,33.97
173,1,1331,173,1709220023,1709221465,29.3,finished,24.03
174,1,1339,174,1709221736,1709222400,44.4,finished,11.05
175,1,1346,175,1709222317,1709222400,21.0,finished,1.38
176,1,1347,176,1709221562,1709222400,65.6,finished,13.96
177,1,1366,177,1709219576,1709222400,72.7,finished,47.05
178,1,1372,178,1709220306,1709221220,22.3,finished,15.23
179,1,1377,179,1709218874,1709220811,25.9,finished,32.27
180,1,1378,180,1709221712,1709222400,26.8,finished,11.45
181,1,1387,181,1709219017,1709221469,43.9,finished,40.86
182,1,1398,182,1709220698,1709222400,37.7,finished,28.35
183,1,1400,183,1709218902,1709221316,77.7,finished,40.22
184,1,1412,184,1709219041,1709220328,11.3,finished,21.45
185,1,1413,185,1709221345,1709222400,45.3,finished,17.57
186,1,1414,186,1709220736,1709221842,22.6,finished,18.43
187,1,1419,187,1709220281,1709221477,5.6,finished,19.94
188,1,1420,188,1709220260,1709220884,28.2,finished,10.41
189,1,1430,189,1709220231,1709222295,51.9,finished,34.41
190,1,1431,190,1709222304,1709222400,13.2,finished,1.6
191,1,1432,191,1709220503,1709222089,51.0,finished,26.45
192,1,1439,192,1709220250,1709221047,13.9,finished,13.28
193,1,1440,193,1709221935,1709222400,4.0,finished,7.74
194,1,1451,194,1709222176,1709222400,53.3,finished,3.72
195,1,1453,195,1709220975,1709222400,30.6,finished,23.74
196,1,1459,196,1709219402,1709220647,28.4,finished,20.75
197,1,1465,197,1709219790,1709222221,10.0,finished,40.51
198,1,1466,198,1709219827,1709222400,59.4,finished,42.87
199,1,1469,199,1709219224,1709221178,45.8,finished,32.56
200,1,1492,200,1709221296,1709222400,44.8,finished,18.39
201,1,1543,201,1709221404,1709222400,71.9,finished,16.59
202,1,1550,202,1709220055,1709221998,49.2,finished,32.4
203,1,1553,203,1709219880,1709222400,48.0,finished,41.99
204,1,1560,204,1709222033,1709222400,10.1,finished,6.11
205,1,1562,205,1709222240,1709222400,39.2,finished,2.66
206,1,1563,206,1709219599,1709220211,7.5,finished,10.2
207,1,1600,207,1709219762,1709222032,77.0,finished,37.83
208,1,1607,208,1709218832,1709220989,8.3,finished,35.96
209,1,1619,209,1709222032,1709222400,30.7,finished,6.13
210,1,1632,210,1709222295,1709222400,20.2,finished,1.75
211,1,1648,211,1709221113,1709222400,51.7,finished,21.44
212,1,1651,212,1709219816,1709222400,67.4,finished,43.06
213,1,1655,213,1709221953,1709222400,6.8,finished,7.44
214,1,1673,214,1709222139,1709222400,54.4,finished,4.34
215,1,1675,215,1709219805,1709222076,42.8,finished,37.84
216,1,1676,216,1709219171,1709220113,30.1,finished,15.7
217,1,1699,217,1709222063,1709222400,18.3,finished,5.61
218,1,1700,218,1709220752,1709222258,35.5,finished,25.09
219,1,1701,219,1709220552,1709221465,32.3,finished,15.22
220,1,1704,220,1709219553,1709222400,48.1,finished,47.44
221,1,1706,221,1709220657,1709221426,37.3,finished,12.83
222,1,1715,222,1709221488,1709222400,64.7,finished,15.19
223,1,1720,223,1709219010,1709220324,17.9,finished,21.9
224,1,1727,224,1709219111,1709222400,90.8,finished,54.8
225,1,1737,225,1709219337,1709221158,23.5,finished,30.35
226,1,1758,226,1709221861,1709222400,31.2,finished,8.97
227,1,1759,227,1709221943,1709222400,22.7,finished,7.6
228,1,1767,228,1709218808,1709220369,17.9,finished,26.02
229,1,1777,229,1709222019,1709222400,50.6,finished,6.34
230,1,1806,230,1709221574,1709222400,40.5,finished,13.76
231,1,1813,231,1709221009,1709222400,43.2,finished,23.17
232,1,1829,232,1709220481,1709221361,8.3,finished,14.67
233,1,1852,233,1709218888,1709220194,20.4,finished,21.77
234,1,1862,234,1709220104,1709221928,42.1,finished,30.41
235,1,1870,235,1709218952,1709221410,46.6,finished,40.96
236,1,1884,236,1709220047,1709221983,37.3,finished,32.26
237,1,1903,237,1709219590,1709222400,38.4,finished,46.83
238,1,1905,238,1709221201,1709222400,66.5,finished,19.98
239,1,1920,239,1709221903,1709222400,14.0,finished,8.27
240,1,1934,240,1709219817,1709222089,28.5,finished,37.87
241,1,1950,241,1709220538,1709221739,24.2,finished,20.02
242,1,1951,242,1709219593,1709220867,14.9,finished,21.23
243,1,1959,243,1709219873,1709221617,39.0,finished,29.07
244,1,1960,244,1709222327,1709222400,37.5,finished,1.21
245,1,1961,245,1709221188,1709222400,60.8,finished,20.19
246,1,1965,246,1709222259,1709222400,34.8,finished,2.34
247,1,1967,247,1709219310,1709222301,43.0,finished,49.85
248,1,1978,248,1709220443,1709222095,5.4,finished,27.54
249,1,1979,249,1709219165,1709221193,51.6,finished,33.8
250,1,1992,250,1709221702,1709222400,60.9,finished,11.62
251,1,1999,251,1709220206,1709222268,66.3,finished,34.37
252,2,6,252,1709171938,1709172000,0.5,finished,1.03
253,2,8,253,1709171910,1709172000,58.3,finished,1.5
254,2,13,254,1709171783,1709172000,64.6,finished,3.61
255,2,19,255,1709171748,1709172000,31.1,finished,4.19
256,2,24,256,1709171718,1709172000,14.1,finished,4.69
257,2,32,257,1709171892,1709172000,23.0,finished,1.78
258,2,34,258,1709171738,1709172000,63.7,finished,4.36
259,2,40,259,1709171831,1709172000,52.5,finished,2.81
260,2,43,260,1709171807,1709172000,29.1,finished,3.2
261,2,53,261,1709171806,1709172000,16.3,finished,3.23
262,2,55,262,1709171847,1709172000,32.1,finished,2.54
263,2,58,263,1709171737,1709172000,82.4,finished,4.37
264,2,80,264,1709171808,1709172000,40.8,finished,3.2
265,2,95,265,1709171862,1709172000,61.7,finished,2.3
266,2,96,266,1709171927,1709172000,29.4,finished,1.2
267,2,101,267,1709171779,1709172000,34.9,finished,3.67
268,2,113,268,1709171809,1709172000,35.7,finished,3.18
269,2,118,269,1709171921,1709172000,46.8,finished,1.31
270,2,132,270,1709171745,1709172000,4.7,finished,4.25
271,2,135,271,1709171910,1709172000,57.9,finished,1.49
272,2,139,272,1709171742,1709172000,28.1,finished,4.29
273,2,151,273,1709171867,1709172000,25.8,finished,2.21
274,2,179,274,1709171741,1709172000,34.6,finished,4.32
275,2,189,275,1709171867,1709172000,31.7,finished,2.21
276,2,194,276,1709171760,1709172000,47.3,finished,4.0
277,2,208,277,1709171727,1709172000,44.9,finished,4.55
278,2,214,278,1709171745,1709172000,43.8,finished,4.24
279,2,223,279,1709171744,1709172000,51.7,finished,4.26
280,2,224,280,1709171781,1709172000,45.9,finished,3.64
281,2,235,281,1709171744,1709172000,41.6,finished,4.26
282,2,252,282,1709171807,1709172000,10.7,finished,3.2
283,2,257,283,1709171701,1709172000,19.5,finished,4.98
284,2,265,284,1709171710,1709172000,16.0,finished,4.82
285,2,275,285,1709171836,1709172000,17.8,finished,2.72
286,2,279,286,1709171850,1709172000,12.9,finished,2.48
287,2,295,287,1709171755,1709172000,42.1,finished,4.08
288,2,296,288,1709171889,1709172000,15.7,finished,1.84
289,2,298,289,1709171869,1709172000,58.4,finished,2.17
290,2,300,290,1709171920,1709172000,76.6,finished,1.33
291,2,301,291,1709171906,1709172000,54.2,finished,1.56
292,2,320,292,1709171700,1709172000,15.5,finished,4.99
293,2,321,293,1709171723,1709172000,23.9,finished,4.6
294,2,333,294,1709171762,1709172000,46.3,finished,3.96
295,2,334,295,1709171917,1709172000,19.9,finished,1.38
296,2,342,296,1709171817,1709172000,10.0,finished,3.04
297,2,345,297,1709171743,1709172000,18.9,finished,4.28
298,2,358,298,1709171829,1709172000,26.3,finished,2.83
299,2,359,299,1709171700,1709172000,37.7,finished,4.98
300,2,380,300,1709171836,1709172000,44.5,finished,2.73
301,2,383,301,1709171706,1709172000,33.5,finished,4.89
302,2,390,302,1709171775,1709172000,38.7,finished,3.74
303,2,397,303,1709171771,1709172000,46.8,finished,3.81
304,2,402,304,1709171715,1709172000,19.8,finished,4.75
305,2,403,305,1709171753,1709172000,30.3,finished,4.11
306,2,406,306,1709171818,1709172000,21.1,finished,3.03
307,2,408,307,1709171846,1709172000,29.6,finished,2.57
308,2,412,308,1709171919,1709172000,35.5,finished,1.35
309,2,418,309,1709171711,1709172000,29.4,finished,4.82
310,2,420,310,1709171920,1709172000,17.1,finished,1.33
311,2,430,311,1709171803,1709172000,43.8,finished,3.27
312,2,439,312,1709171749,1709172000,31.5,finished,4.18
313,2,441,313,1709171798,1709172000,38.6,finished,3.36
314,2,450,314,1709171878,1709172000,37.1,finished,2.02
315,2,452,315,1709171839,1709172000,11.5,finished,2.68
316,2,460,316,1709171720,1709172000,41.6,finished,4.65
317,2,464,317,1709171726,1709172000,30.7,finished,4.57
318,2,466,318,1709171818,1709172000,48.5,finished,3.03
319,2,468,319,1709171903,1709172000,31.2,finished,1.61
320,2,470,320,1709171863,1709172000,38.3,finished,2.27
321,2,501,321,1709171881,1709172000,67.9,finished,1.97
322,2,502,322,1709171714,1709172000,24.1,finished,4.76
323,2,503,323,1709171749,1709172000,0.1,finished,4.18
324,2,506,324,1709171787,1709172000,59.9,finished,3.54
325,2,521,325,1709171845,1709172000,37.6,finished,2.58
326,2,528,326,1709171770,1709172000,28.4,finished,3.83
327,2,531,327,1709171938,1709172000,34.3,finished,1.02
328,2,554,328,1709171764,1709172000,17.4,finished,3.92
329,2,572,329,1709171767,1709172000,39.4,finished,3.88
330,2,577,330,1709171830,1709172000,19.1,finished,2.82
331,2,591,331,1709171914,1709172000,29.9,finished,1.42
332,2,599,332,1709171762,1709172000,28.1,finished,3.96
333,2,614,333,1709171842,1709172000,56.0,finished,2.62
334,2,617,334,1709171712,1709172000,45.9,finished,4.79
335,2,634,335,1709171758,1709172000,72.7,finished,4.02
336,2,640,336,1709171717,1709172000,19.3,finished,4.7
337,2,646,337,1709171818,1709172000,14.4,finished,3.02
338,2,655,338,1709171738,1709172000,11.8,finished,4.36
339,2,661,339,1709171813,1709172000,59.9,finished,3.12
340,2,662,340,1709171869,1709172000,19.5,finished,2.17
341,2,665,341,1709171909,1709172000,35.6,finished,1.51
342,2,672,342,1709171914,1709172000,39.5,finished,1.43
343,2,675,343,1709171780,1709172000,38.1,finished,3.67
344,2,688,344,1709171723,1709172000,0.1,finished,4.6
345,2,692,345,1709171930,1709172000,12.1,finished,1.15
346,2,695,346,1709171915,1709172000,6.8,finished,1.4
347,2,704,347,1709171905,1709172000,5.4,finished,1.57
348,2,713,348,1709171757,1709172000,63.2,finished,4.04
349,2,749,349,1709171839,1709172000,35.3,finished,2.68
350,2,758,350,1709171765,1709172000,8.8,finished,3.91
351,2,774,351,1709171743,1709172000,26.2,finished,4.28
352,2,785,352,1709171869,1709172000,10.3,finished,2.17
353,2,789,353,1709171855,1709172000,37.4,finished,2.41
354,2,810,354,1709171715,1709172000,54.7,finished,4.75
355,2,824,355,1709171843,1709172000,35.0,finished,2.61
356,2,829,356,1709171761,1709172000,10.8,finished,3.98
357,2,853,357,1709171926,1709172000,20.4,finished,1.23
358,2,857,358,1709171800,1709172000,35.0,finished,3.32
359,2,858,359,1709171715,1709172000,20.9,finished,4.74
360,2,863,360,1709171803,1709172000,23.1,finished,3.27
361,2,871,361,1709171890,1709172000,74.4,finished,1.82
362,2,877,362,1709171898,1709172000,75.9,finished,1.7
363,2,902,363,1709171825,1709172000,78.8,finished,2.9
364,2,914,364,1709171925,1709172000,11.8,finished,1.23
365,2,915,365,1709171731,1709172000,4.3,finished,4.47
366,2,930,366,1709171726,1709172000,52.5,finished,4.56
367,2,935,367,1709171741,1709172000,24.3,finished,4.31
368,2,942,368,1709171718,1709172000,18.8,finished,4.69
369,2,949,369,1709171902,1709172000,23.6,finished,1.62
370,2,965,370,1709171931,1709172000,18.4,finished,1.14
371,2,976,371,1709171865,1709172000,44.4,finished,2.24
372,2,977,372,1709171924,1709172000,58.2,finished,1.26
373,2,979,373,1709171854,1709172000,59.0,finished,2.43
374,2,981,374,1709171705,1709172000,20.4,finished,4.9
375,2,982,375,1709171712,1709172000,20.0,finished,4.8
376,2,990,376,1709171824,1709172000,60.9,finished,2.93
377,2,995,377,1709171900,1709172000,4.7,finished,1.67
378,2,999,378,1709171853,1709172000,51.0,finished,2.45
379,2,1010,379,1709171700,1709172000,74.7,finished,4.99
380,2,1014,380,1709171752,1709172000,17.0,finished,4.13
381,2,1017,381,1709171805,1709172000,48.1,finished,3.25
382,2,1027,382,1709171833,1709172000,16.7,finished,2.78
383,2,1039,383,1709171820,1709172000,52.2,finished,2.99
384,2,1044,384,1709171800,1709172000,23.5,finished,3.32
385,2,1048,385,1709171856,1709172000,42.3,finished,2.4
386,2,1051,386,1709171722,1709172000,41.2,finished,4.63
387,2,1057,387,1709171835,1709172000,14.4,finished,2.75
388,2,1068,388,1709171925,1709172000,28.6,finished,1.25
389,2,1071,389,1709171788,1709172000,23.1,finished,3.52
390,2,1075,390,1709171703,1709172000,21.8,finished,4.93
391,2,1079,391,1709171849,1709172000,50.0,finished,2.52
392,2,1083,392,1709171820,1709172000,23.6,finished,3.0
393,2,1086,393,1709171933,1709172000,45.5,finished,1.11
394,2,1087,394,1709171796,1709172000,63.7,finished,3.39
395,2,1099,395,1709171916,1709172000,20.6,finished,1.39
396,2,1104,396,1709171884,1709172000,34.8,finished,1.93
397,2,1113,397,1709171813,1709172000,55.3,finished,3.1
398,2,1118,398,1709171899,1709172000,28.4,finished,1.68
399,2,1128,399,1709171920,1709172000,50.9,finished,1.33
400,2,1129,400,1709171844,1709172000,42.2,finished,2.58
401,2,1134,401,1709171900,1709172000,29.0,finished,1.66
402,2,1144,402,1709171830,1709172000,51.2,finished,2.83
403,2,1188,403,1709171935,1709172000,26.2,finished,1.08
404,2,1190,404,1709171781,1709172000,74.3,finished,3.64
405,2,1194,405,1709171770,1709172000,30.1,finished,3.83
406,2,1200,406,1709171881,1709172000,48.7,finished,1.97
407,2,1207,407,1709171856,1709172000,29.1,finished,2.39
408,2,1212,408,1709171899,1709172000,47.2,finished,1.67
409,2,1223,409,1709171794,1709172000,24.2,finished,3.43
410,2,1229,410,1709171770,1709172000,1.2,finished,3.82
411,2,1238,411,1709171843,1709172000,62.5,finished,2.6
412,2,1241,412,1709171765,1709172000,1.8,finished,3.91
413,2,1250,413,1709171890,1709172000,43.6,finished,1.82
414,2,1258,414,1709171807,1709172000,61.0,finished,3.2
415,2,1264,415,1709171894,1709172000,16.6,finished,1.76
416,2,1266,416,1709171824,1709172000,9.8,finished,2.93
417,2,1310,417,1709171765,1709172000,34.8,finished,3.91
418,2,1312,418,1709171916,1709172000,13.4,finished,1.38
419,2,1331,419,1709171767,1709172000,64.9,finished,3.87
420,2,1336,420,1709171898,1709172000,32.2,finished,1.68
421,2,1339,421,1709171820,1709172000,21.5,finished,2.98
422,2,1342,422,1709171802,1709172000,28.2,finished,3.29
423,2,1347,423,1709171876,1709172000,56.5,finished,2.05
424,2,1351,424,1709171903,1709172000,42.2,finished,1.61
425,2,1355,425,1709171715,1709172000,28.3,finished,4.75
426,2,1372,426,1709171921,1709172000,22.7,finished,1.31
427,2,1377,427,1709171938,1709172000,60.4,finished,1.03
428,2,1378,428,1709171862,1709172000,17.4,finished,2.29
429,2,1387,429,1709171718,1709172000,17.0,finished,4.69
430,2,1398,430,1709171827,1709172000,22.6,finished,2.88
431,2,1412,431,1709171727,1709172000,29.5,finished,4.55
432,2,1413,432,1709171757,1709172000,46.3,finished,4.03
433,2,1420,433,1709171765,1709172000,19.4,finished,3.91
434,2,1430,434,1709171787,1709172000,83.3,finished,3.54
435,2,1432,435,1709171806,1709172000,51.0,finished,3.22
436,2,1439,436,1709171788,1709172000,54.9,finished,3.53
437,2,1440,437,1709171764,1709172000,25.8,finished,3.93
438,2,1451,438,1709171932,1709172000,36.8,finished,1.13
439,2,1465,439,1709171736,1709172000,25.1,finished,4.38
440,2,1466,440,1709171815,1709172000,60.0,finished,3.08
441,2,1469,441,1709171885,1709172000,51.7,finished,1.9
442,2,1492,442,1709171741,1709172000,40.9,finished,4.32
443,2,1495,443,1709171769,1709172000,55.1,finished,3.85
444,2,1515,444,1709171929,1709172000,21.7,finished,1.18
445,2,1543,445,1709171844,1709172000,72.6,finished,2.59
446,2,1553,446,1709171820,1709172000,53.9,finished,2.99
447,2,1562,447,1709171744,1709172000,40.1,finished,4.25
448,2,1563,448,1709171771,1709172000,36.7,finished,3.81
449,2,1564,449,1709171797,1709172000,42.8,finished,3.38
450,2,1577,450,1709171864,1709172000,26.5,finished,2.26
451,2,1593,451,1709171922,1709172000,18.4,finished,1.29
452,2,1600,452,1709171916,1709172000,71.7,finished,1.39
453,2,1619,453,1709171790,1709172000,32.3,finished,3.49
454,2,1626,454,1709171856,1709172000,31.0,finished,2.39
455,2,1641,455,1709171886,1709172000,32.7,finished,1.89
456,2,1648,456,1709171748,1709172000,33.5,finished,4.19
457,2,1651,457,1709171931,1709172000,58.4,finished,1.14
458,2,1673,458,1709171733,1709172000,62.0,finished,4.45
459,2,1675,459,1709171813,1709172000,29.1,finished,3.11
460,2,1676,460,1709171829,1709172000,12.7,finished,2.85
461,2,1677,461,1709171930,1709172000,36.3,finished,1.16
462,2,1700,462,1709171818,1709172000,56.7,finished,3.02
463,2,1704,463,1709171850,1709172000,34.8,finished,2.48
464,2,1714,464,1709171770,1709172000,21.6,finished,3.83
465,2,1715,465,1709171795,1709172000,100.0,finished,3.41
466,2,1716,466,1709171914,1709172000,64.1,finished,1.43
467,2,1720,467,1709171719,1709172000,45.9,finished,4.67
468,2,1727,468,1709171937,1709172000,58.8,finished,1.05
469,2,1731,469,1709171707,1709172000,20.3,finished,4.87
470,2,1737,470,1709171849,1709172000,25.8,finished,2.5
471,2,1758,471,1709171924,1709172000,10.7,finished,1.26
472,2,1759,472,1709171856,1709172000,20.6,finished,2.4
